Group	group#	mouse#	day	abx	dose	time	order	Cdiff	nextDayCFU	invsimpson	simpsoneven	shannoneven	shannon	Otu001	Otu011	Otu002	Otu003	Otu007	Otu005	Otu016	Otu006	Otu004	Other
102-1-D0	102	1	0	metro	1	delayed	2	630dE	1900	3.105724	0.051791	0.48401	1.981849	0.557538	0.137846	0.158154	0.017231	0.059692	0.019692	0.003692	0.003692	0.033231	0.026463
102-2-D0	102	2	0	metro	1	delayed	2	630dE	0	2.281904	0.054951	0.35528	1.324982	0.625846	0.246769	0.013538	0.017231	0.022154	0.049846	0.006769	0.005538	0.001846	0.027694
102-3-D0	102	3	0	metro	1	delayed	2	630dE	0	3.044844	0.06513	0.469261	1.804938	0.552	0.147692	0.120615	0.002462	0.068308	0.058462	0.019692	0.001231	0.022154	0.009846
102-4-D0	102	4	0	metro	1	delayed	2	630dE	300	2.226436	0.04952	0.38968	1.483737	0.657846	0.102154	0.069538	0.001846	0.072615	0.055385	0.003077	0.001231	0.014154	0.024
107-1-D0	107	1	0	metro	1	delayed	2	630dE	0	5.283424	0.165121	0.555565	1.926753	0.628923	0.000615	0.013538	0.000615	0.011692	0.105231	0	0.217231	0.017231	0.005539
107-3-D0	107	3	0	metro	1	delayed	2	630dE	300	5.098586	0.110301	0.546164	2.094273	0.773538	0.012923	0.118769	0.001846	0.006769	0.037538	0.001231	0.042462	0.001231	0.005539
108-1-D0	108	1	0	metro	1	delayed	2	630dE	100	3.101956	0.127417	0.509734	1.628328	0.334769	0.006769	0.001231	0.531692	0.011077	0.032	0.000615	0.064	0	0.549539
108-2-D0	108	2	0	metro	1	delayed	2	630dE	0	5.613428	0.161697	0.63067	2.238061	0.452923	0.008	0.019692	0.358154	0.011077	0.043077	0	0.091077	0.007385	0.366769
116-1-D0	116	1	0	metro	1	delayed	2	630dE	0	1.967535	0.038188	0.376935	1.486306	0.710154	0.052923	0.089231	0	0.004923	0.063385	0.001846	0.000615	0.020308	0.056615
116-2-D0	116	2	0	metro	1	delayed	2	630dE	0	5.655902	0.091264	0.596037	2.45994	0.331692	0.227077	0.236923	0	0.011692	0.083077	0.002462	0.000615	0.022769	0.083693
116-3-D0	116	3	0	metro	1	delayed	2	630dE	200	2.312521	0.048842	0.389004	1.501371	0.630769	0.092923	0.079385	0	0.003077	0.145231	0.003692	0	0.016615	0.028308
116-4-D0	116	4	0	metro	1	delayed	2	630dE	4600	10.234617	0.15893	0.711802	2.965037	0.173538	0.148308	0.542769	0	0.008615	0.018462	0.003077	0.000615	0.051077	0.053539
116-5-D0	116	5	0	metro	1	delayed	2	630dE	1100	2.052774	0.045812	0.380384	1.447039	0.710769	0.042462	0.134769	0.000615	0.019692	0.022769	0.001231	0	0.005538	0.06277
040-1D0	40	1	0	metro	1	on-time	1	630dE	116000000	1.310228	0.100384	0.214634	0.553233	0.002462	0	0.000615	0	0.861538	0.107077	0.024	0	0.001846	0.002462
040-2D0	40	2	0	metro	1	on-time	1	630dE	121000000	1.812449	0.118017	0.322044	0.881268	0.002462	0	0.001231	0.003077	0.700308	0.265231	0.024615	0	0.001231	0.004922
040-3D0	40	3	0	metro	1	on-time	1	630dE	134000000	1.593302	0.059734	0.237727	0.781473	0.005538	0	0.002462	0.004923	0.776	0.170462	0.032615	0.000615	0.001231	0.011077
040-4D0	40	4	0	metro	1	on-time	1	630dE	93000000	1.945134	0.028723	0.307782	1.298417	0.003692	0	0.002462	0.004308	0.710769	0.176615	0.046154	0.000615	0.000615	0.059078
103-1-D0	103	1	0	metro	1	on-time	1	630dE	18300000	3.099663	0.142297	0.459443	1.417289	0.393231	0.017231	0.000615	0.008615	0.380308	0.139077	0.048615	0.001846	0	0.019077
103-2-D0	103	2	0	metro	1	on-time	1	630dE	38300000	1.979041	0.072344	0.336109	1.113325	0.012308	0.015385	0.001231	0.009846	0.700923	0.222154	0.028308	0.002462	0	0.017229
103-3-D0	103	3	0	metro	1	on-time	1	630dE	43800000	2.599105	0.082591	0.415062	1.432624	0.057231	0.010462	0.003077	0.020923	0.591385	0.241846	0.062769	0.008615	0.000615	0.024
