Group,group#,mouse#,time,order,nextDayCFU,Otu001,Otu002,Otu003,Otu004,Otu005,Otu006,Otu007,Otu008,Otu009,Otu010,Otu011,Otu012,Otu013,Otu014,Otu015,Otu016,Otu017,Otu018,Otu019,Otu020,Otu021,Otu022,Otu023,Otu024,Otu025,Otu026,Otu027,Otu028,Otu029,Otu030,Otu031,Otu032,Otu033,Otu034,Otu035,Otu036,Otu037,Otu038,Otu039,Otu040,Otu041,Otu042,Otu043,Otu044,Otu045,Otu046,Otu047,Otu048,Otu049,Otu050,Otu051,Otu052,Otu053,Otu054,Otu055,Otu056,Otu057,Otu058,Otu059,Otu060,Otu061,Otu062,Otu063,Otu064,Otu065,Otu066,Otu067,Otu068,Otu069,Otu070,Otu071,Otu072,Otu073,Otu074,Otu075,Otu076,Otu077,Otu078,Otu079,Otu080,Otu083,Otu084,Otu086,Otu088,Otu091,Otu092,Otu093,Otu094,Otu097,Otu101,Otu102,Otu105,Otu110,Otu119,Otu120,Otu122,Otu133,Otu138,Otu139,Otu145,Otu147,Otu150,Otu171,Otu172,Otu176,Otu178
102-1-D0,102,1,delayed,2,1900,0.557538,0.158154,0.017231,0.033231,0.019692,0.003692,0.059692,0.001231,0.000615,0,0.137846,0,0.000615,0,0.000615,0.003692,0.001846,0,0.000615,0,0,0,0,0.001231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102-2-D0,102,2,delayed,2,0,0.625846,0.013538,0.017231,0.001846,0.049846,0.005538,0.022154,0.000615,0,0,0.246769,0.000615,0,0,0.001846,0.006769,0.002462,0.000615,0.001231,0.000615,0.000615,0,0,0.000615,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102-3-D0,102,3,delayed,2,0,0.552,0.120615,0.002462,0.022154,0.058462,0.001231,0.068308,0.001231,0,0,0.147692,0,0.003077,0,0.002462,0.019692,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102-4-D0,102,4,delayed,2,300,0.657846,0.069538,0.001846,0.014154,0.055385,0.001231,0.072615,0.001231,0,0,0.102154,0,0.003077,0,0.003077,0.003077,0.000615,0.001231,0.002462,0,0.001231,0.000615,0,0.001231,0.002462,0,0,0,0,0.003692,0,0.001231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107-1-D0,107,1,delayed,2,0,0.628923,0.013538,0.000615,0.017231,0.105231,0.217231,0.011692,0.001846,0,0,0.000615,0,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0.001846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107-3-D0,107,3,delayed,2,300,0.773538,0.118769,0.001846,0.001231,0.037538,0.042462,0.006769,0.001846,0,0,0.012923,0,0,0,0,0.001231,0,0,0,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-1-D0,108,1,delayed,2,100,0.334769,0.001231,0.531692,0,0.032,0.064,0.011077,0,0,0,0.006769,0,0,0,0.017846,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-2-D0,108,2,delayed,2,0,0.452923,0.019692,0.358154,0.007385,0.043077,0.091077,0.011077,0.000615,0.000615,0,0.008,0,0.000615,0,0.002462,0,0,0.000615,0,0,0,0,0,0,0,0,0.003692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116-1-D0,116,1,delayed,2,0,0.710154,0.089231,0,0.020308,0.063385,0.000615,0.004923,0.001846,0,0,0.052923,0,0.003077,0,0,0.001846,0,0.048615,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116-2-D0,116,2,delayed,2,0,0.331692,0.236923,0,0.022769,0.083077,0.000615,0.011692,0.013538,0,0,0.227077,0,0.010462,0,0,0.002462,0.000615,0.055385,0,0.000615,0,0,0,0,0,0,0.002462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
