Group,expgroup,nextDayCFU,invsimpson,shannon
021-1D-6,control,0,13.584508,3.005301
021-2D-6,control,0,12.669229,2.970891
021-3D-6,control,0,14.503479,3.134161
021-4D-6,control,0,19.850373,3.531079
024-1D-6,control,0,12.867406,2.904098
024-3D-6,control,0,11.233769,3.110031
050-1D-6,control,0,11.801305,2.976081
050-2D-6,control,0,8.402298,2.540265
050-3D-6,control,0,10.125503,2.77203
050-4D-6,control,0,14.710316,3.101188
600-1D-6,control,0,9.054313,2.817648
600-3D-6,control,0,6.734764,2.560054
600-4D-6,control,0,3.310402,2.188895
007-1D-6,control,0,14.034581,3.219814
007-2D-6,control,0,18.947207,3.494381
007-357D-6,control,0,14.672312,3.2264
007-358D-6,control,0,13.68656,3.203164
039-1D-6,control,0,13.048177,2.97415
039-3D-6,control,0,13.229793,2.879498
040-1D-6,control,0,14.836601,3.296844
040-2D-6,control,0,14.232871,3.174125
040-3D-6,control,0,10.948153,2.793023
040-4D-6,control,0,15.821861,3.232502
103-1-D-6,control,0,9.586383,2.706075
103-2-D-6,control,0,8.655108,2.541559
103-3-D-6,control,0,9.635106,2.890881
047-1D-6,control,0,11.253843,2.895493
047-2D-6,control,0,11.648828,2.808822
047-3D-6,control,0,17.138744,3.280788
627-1D-6,control,0,17.529985,3.394774
627-2D-6,control,0,19.487722,3.472737
627-3D-6,control,0,5.261093,2.603643
627-4D-6,control,0,10.818204,2.877377
627-5D-6,control,0,7.035422,2.696703
002-1D-6,control,0,7.461802,2.433451
002-1D-5,control,0,8.547436,2.512081
004-1D-1,control,0,11.777026,2.878129
004-2D-1,control,0,11.863486,2.883396
004-359D-1,control,0,12.280882,2.879006
004-4D-1,control,0,7.68029,2.582924
015-1D-1,control,0,14.728142,3.017531
015-2D-1,control,0,13.350616,2.935219
015-3D-1,control,0,12.724775,2.902669
052-1-D-1,control,0,9.28238,2.674782
052-2-D-1,control,0,15.438867,3.158673
052-3-D-1,control,0,12.461277,2.932923
097-2-D-1,control,0,12.553076,2.860533
097-3-D-1,control,0,11.890766,2.897469
098-1-D-1,control,0,16.882742,3.265105
098-2-D-1,control,0,15.932077,3.151711
098-3-D-1,control,0,13.892546,2.973057
021-1D0,amp.5,70000,11.15346,2.915302
021-4D0,amp.5,2700,9.778024,2.757564
024-1D0,cef.5,34000000,11.856335,3.491453
024-3D0,cef.5,78000000,14.413003,3.799161
050-1-D0,amp.5,75000000,6.727528,2.847953
050-2-D0,amp.5,80000000,9.021005,2.912972
050-3-D0,amp.5,35000000,5.930669,2.655024
050-4-D0,amp.5,120000,4.136587,2.341887
600-3D0,cef.5,2.29E+08,15.241499,3.189095
600-4D0,cef.5,1.17E+08,3.444194,2.070378
039-3D0,vanc.625,36500000,2.197851,0.944084
040-1D0,metro1,116000000,1.310228,0.553233
040-2D0,metro1,121000000,1.812449,0.881268
040-3D0,metro1,134000000,1.593302,0.781473
040-4D0,metro1,93000000,1.945134,1.298417
103-1-D0,metro1,18300000,3.099663,1.417289
103-2-D0,metro1,38300000,1.979041,1.113325
103-3-D0,metro1,43800000,2.599105,1.432624
047-1D0,strep5,72000000,6.395301,2.197382
047-2D0,strep5,73000000,6.945645,2.296586
047-3D0,strep5,27000000,6.821118,2.162947
627-1D0,strep5,3.40E+07,2.534759,1.386264
627-2D0,strep5,3.46E+07,3.663065,1.677937
627-3D0,strep5,1.01E+08,1.887034,1.043327
627-4D0,strep5,5.70E+07,2.363985,1.337112
627-5D0,strep5,7.00E+07,3.18664,1.651904
004-1D0,clinda,60000000,1.735752,0.765363
004-2D0,clinda,7300000,1.412322,0.594944
004-359D0,clinda,23300000,1.527676,0.672396
004-4D0,clinda,110000,1.320952,0.472011
015-1D0,cipro,0,9.211101,2.911523
015-2D0,cipro,0,10.512452,2.878194
015-3D0,cipro,0,10.159096,2.801571
052-1-D0,clinda,57000000,1.073107,0.184063
052-2-D0,clinda,38000000,1.046207,0.141887
052-3-D0,clinda,21000000,1.060539,0.176846
052-4-D0,clinda,86000000,1.081741,0.249777
097-2-D0,cipro,0,11.683619,2.945424
097-3-D0,cipro,0,9.869726,2.719581
098-1-D0,clinda,30700000,1.417268,0.911692
098-2-D0,clinda,34100000,1.302517,0.726263
098-3-D0,clinda,0,1.274367,0.690985
007-2D1,vanc.625,99000000,2.652017,1.287522
007-357D1,vanc.625,25000000,1.897396,0.980098
007-358D1,vanc.625,74000000,4.554835,2.269011
0071D1,vanc.625,83000000,2.116238,1.072929
039-1D1,vanc.625,115000000,3.053512,1.417315
039-3D1,vanc.625,160000000,2.394491,1.067778
