Group,expgroup,nextDayCFU,Otu001,Otu003,Otu016,Otu004,Otu014,Otu005,Otu009,Otu007,Otu006,Otu002,Otu033,Otu008,Otu043,Otu015,Otu035,Otu013,Otu020,Otu018,Otu025,Otu034,Otu024,Otu021,Otu039,Otu022,Otu059,Otu027,Otu030,Other
040-3D-6,1untr,0,0.537615,0.170846,0.021308,0.111154,0.001615,0.025615,0.002846,0.013923,0.032385,0.035462,0.001,0.004692,0.020077,0.014538,0.001615,0.001,0.001615,0.010846,0.002231,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.009617
040-4D-6,1untr,0,0.391154,0.151154,0.037308,0.143769,0.049615,0.033615,0.005308,0.004692,0.021308,0.041,0.016385,0.008385,0.017,0.011462,0.001,0.004692,0.002231,0.029308,0.002846,0.002231,0.007154,0.004692,0.001615,0.002231,0.001,0.003462,0.005923,0.02746
103-1-D-6,1untr,0,0.629923,0.016385,0.004077,0.138231,0.001,0.044692,0.012692,0.090231,0.004692,0.036692,0.001,0.012077,0.001,0.002231,0.003462,0.002846,0.001,0.001,0.005308,0.001615,0.002231,0.001615,0.001,0.001,0.001,0.001,0.001,0.009
103-2-D-6,1untr,0,0.768385,0.024385,0.002231,0.116692,0.001615,0.009,0.008385,0.045308,0.003462,0.014538,0.001,0.001615,0.001,0.003462,0.001615,0.002231,0.001,0.006538,0.001615,0.001,0.001,0.001,0.001,0.001615,0.001,0.001,0.001,0.005308
103-3-D-6,1untr,0,0.568385,0.130846,0.065615,0.020692,0.001,0.012077,0.007154,0.038538,0.012692,0.115462,0.001615,0.006538,0.001,0.002231,0.004077,0.005308,0.002231,0.001,0.012692,0.001615,0.001,0.001,0.001,0.001615,0.001,0.001,0.001,0.009617
047-1D-6,1untr,0,0.698231,0.091462,0.028692,0.037308,0.001,0.020692,0.025,0.019462,0.018231,0.035462,0.002231,0.004077,0.002846,0.006538,0.001,0.001,0.010231,0.004692,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.010845
047-2D-6,1untr,0,0.616385,0.114231,0.056385,0.032385,0.044692,0.042846,0.017615,0.017615,0.002846,0.012077,0.004077,0.004692,0.007154,0.004077,0.001,0.001,0.001615,0.030538,0.002231,0.001,0.002231,0.001,0.001,0.001,0.001,0.001,0.001,0.005308
047-3D-6,1untr,0,0.431769,0.121615,0.068692,0.041615,0.059462,0.052077,0.012077,0.014538,0.022538,0.075462,0.020692,0.019462,0.005308,0.023769,0.001615,0.001,0.016385,0.017615,0.005923,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.008386
627-1D-6,1untr,0,0.437923,0.049615,0.103154,0.111769,0.001,0.007769,0.003462,0.029308,0.015769,0.133308,0.015154,0.013308,0.004077,0.018231,0.003462,0.001,0.001,0.001,0.001615,0.001615,0.002846,0.003462,0.001615,0.001615,0.001,0.001615,0.001615,0.060693
627-2D-6,1untr,0,0.466846,0.021923,0.067462,0.138846,0.001,0.006538,0.007769,0.049615,0.008385,0.141923,0.007769,0.010846,0.001,0.025615,0.011462,0.002846,0.001615,0.002231,0.001615,0.001,0.001,0.001615,0.001,0.001615,0.001615,0.001,0.001,0.042849
627-3D-6,1untr,0,0.226846,0.405923,0.076692,0.097615,0.001,0.013923,0.004077,0.025615,0.005308,0.037923,0.009615,0.011462,0.002231,0.017615,0.002231,0.014538,0.004077,0.001,0.001,0.005923,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.055771
627-4D-6,1untr,0,0.394231,0.161,0.175154,0.116077,0.001,0.010846,0.001615,0.036077,0.006538,0.048385,0.005923,0.006538,0.001615,0.012692,0.004077,0.001615,0.001,0.001,0.004077,0.001,0.001,0.001,0.001,0.001,0.001615,0.001,0.001,0.029925
627-5D-6,1untr,0,0.351154,0.324077,0.082846,0.061308,0.001,0.003462,0.009,0.028692,0.008385,0.066846,0.002846,0.007769,0.001615,0.008385,0.001615,0.025615,0.004692,0.001,0.001,0.005923,0.001,0.002231,0.001,0.001,0.001615,0.001,0.001615,0.021309
