otu,phyla,name
Otu001,Bacteroidetes,Porphyromonadaceae
Otu003,Bacteroidetes,Bacteroides
Otu016,Bacteroidetes,Alistipes
Otu004,Firmicutes,Lactobacillus
Otu014,Firmicutes,Turicibacter
Otu005,Verrucomicrobia,Akkermansia
Otu009,Bacteroidetes,Bacteroidetes
Otu007,Bacteroidetes,Barnesiella
Otu006,Firmicutes,Ruminococcaceae
Otu002,Firmicutes,Lachnospiraceae
Otu033,Firmicutes,Clostridia
Otu008,Firmicutes,Clostridiales
Otu043,Firmicutes,Ruminococcus
Otu015,Firmicutes,Firmicutes
Otu035,Firmicutes,Clostridium_XlVa
Otu013,Proteobacteria,Enterobacteriaceae
Otu020,Firmicutes,Oscillibacter
Otu018,Actinobacteria,Bifidobacterium
Otu025,Actinobacteria,Coriobacteriaceae
Otu034,Proteobacteria,Pseudomonas
Otu024,Firmicutes,Clostridium
Otu021,Firmicutes,Staphylococcus
Otu039,Actinobacteria,Actinomyces
Otu022,Firmicutes,Streptococcus
Otu059,Firmicutes,Lachnospiracea_incertae_sedis
Otu027,Firmicutes,Bacillales
Otu030,Deinococcus-Thermus,Deinococcus
