label,color
Porphyromonadaceae (OTU3),steelblue
Alistipes (OTU20),darkturquoise
Porphyromonadaceae (OTU7),steelblue
Lachnospiraceae (OTU39),darkred
Porphyromonadaceae (OTU15),steelblue
Porphyromonadaceae (OTU6),steelblue
Lactobacillus (OTU23),chartreuse3
Porphyromonadaceae (OTU13),steelblue
Enterorhabdus (OTU29),deeppink3
Porphyromonadaceae (OTU2),steelblue
Bacteroidetes (OTU16),darkblue
Porphyromonadaceae (OTU1),steelblue
Lachnospiraceae (OTU27),darkred
Porphyromonadaceae (OTU4),steelblue
Porphyromonadaceae (OTU81),steelblue
Ruminococcus (OTU86),gold
unclassified (OTU64),black
Lachnospiraceae (OTU26),darkred
Porphyromonadaceae (OTU18),steelblue
Ruminococcaceae (OTU38),gold
Bacteroides (OTU5),darkturquoise
Porphyromonadaceae (OTU12),steelblue
Lachnospiraceae (OTU42),darkred
Ruminococcaceae (OTU33),gold
Porphyromonadaceae (OTU19),steelblue
Porphyromonadaceae (OTU9),steelblue
Coriobacteriaceae (OTU50),deeppink3
Clostridiales (OTU181),darkorange1
Anaeroplasma (OTU24),black
Lachnospiraceae (OTU125),darkred
Clostridiales (OTU34),darkorange1
Clostridia (OTU286),darkgreen
Ruminococcaceae (OTU92),gold
Lachnospiraceae (OTU76),darkred
Firmicutes (OTU2109),darkgreen
Ruminococcaceae (OTU35),gold
Oscillibacter (OTU60),darkorange1
Lachnospiraceae (OTU95),darkred
Lachnospiraceae (OTU53),darkred
Lactobacillus (OTU21),chartreuse3
Lachnospiraceae (OTU36),darkred
Porphyromonadaceae (OTU8),steelblue
Bifidobacterium (OTU22),deeppink3
Lachnospiraceae (OTU32),darkred
Oscillibacter (OTU56),darkorange1
Lachnospiraceae (OTU71),darkred
Lachnospiraceae (OTU31),darkred
Akkermansia (OTU10),black
Turicibacter (OTU17),darkgreen
Porphyromonadaceae (OTU83),steelblue
Ruminococcaceae (OTU222),gold
Burkholderiales (OTU251),blueviolet
Parabacteroides (OTU228),steelblue
Olsenella (OTU43),deeppink3
Lachnospiraceae (OTU277),darkred
Lactobacillus (OTU14),chartreuse3
Porphyromonadaceae (OTU119),steelblue
Staphylococcus (OTU25),chartreuse3
Peptostreptococcaceae (OTU102),darkorange1
Ruminococcaceae (OTU97),gold
Clostridium (OTU40),darkorange1
Clostridium (OTU61),darkorange1
Listeria (OTU68),chartreuse3
Deinococcus (OTU45),black
Lachnospiraceae (OTU174),darkred
Bacteroides (OTU70),darkturquoise
Clostridiales (OTU154),darkorange1
Bacillales (OTU46),chartreuse3
Firmicutes (OTU57),darkgreen
Pseudomonas (OTU65),blueviolet
Bacteroides (OTU44),darkturquoise
Streptococcus (OTU78),chartreuse3
E. Shigella (OTU11),blueviolet
