OTU,Original,Vanc,Strep,Cef
Otu00003,,,,
Otu00020,,,,
Otu00007,,,ns,
Otu00039,,,,
Otu00015,,,ns,
Otu00006,,,,
Otu00023,,,,ns
Otu00013,,,,
Otu00029,,,ns,
Otu00002,,,ns,
Otu00016,,,,
Otu00001,,,,
Otu00027,,ns,ns,
Otu00004,,,ns,
Otu00081,,,ns,
Otu00086,,ns,ns,ns
Otu00064,,ns,ns,
Otu00026,,,ns,ns
Otu00018,,ns,,
Otu00038,,,ns,ns
Otu00005,,ns,,ns
Otu00012,,,,
Otu00042,,,,
Otu00033,,,ns,ns
Otu00019,,,ns,
Otu00009,,ns,ns,ns
Otu00050,,,,ns
Otu00181,,,ns,ns
Otu00024,,ns,,
Otu00125,,,ns,ns
Otu00034,,,ns,ns
Otu00286,,,ns,ns
Otu00092,,,ns,ns
Otu00076,,,,
Otu02109,,,ns,ns
Otu00035,,,ns,
Otu00060,,,ns,ns
Otu00095,,,ns,ns
Otu00053,,,ns,ns
Otu00021,,,,ns
Otu00036,,,ns,ns
Otu00008,,ns,ns,
Otu00022,,,,ns
Otu00032,,,ns,ns
Otu00056,,ns,ns,ns
Otu00071,ns,,ns,ns
Otu00031,ns,,ns,ns
Otu00010,ns,,,ns
Otu00017,ns,,,ns
Otu00083,ns,ns,ns,
Otu00222,ns,ns,ns,
Otu00251,ns,ns,ns,
Otu00228,ns,ns,ns,
Otu00043,ns,,ns,ns
Otu00277,ns,ns,ns,
Otu00014,ns,,ns,
Otu00119,ns,ns,ns,
Otu00025,ns,ns,ns,
Otu00102,ns,ns,ns,
Otu00097,ns,ns,,ns
Otu00040,ns,ns,ns,
Otu00061,ns,ns,ns,
Otu00068,ns,ns,ns,
Otu00045,ns,ns,ns,
Otu00174,ns,ns,ns,
Otu00070,,ns,ns,
Otu00154,,ns,ns,ns
Otu00046,,ns,ns,
Otu00057,,,ns,ns
Otu00065,,ns,ns,
Otu00044,,ns,ns,
Otu00078,,ns,ns,
Otu00011,,,ns,
