OTU,Original,Vancomycin,Streptomycin,Cefoperazone
Otu00003,-0.802524508,-0.847711898,-0.620527994,-0.662569269
Otu00020,-0.781421639,-0.805523636,-0.690867716,-0.572435408
Otu00007,-0.772470618,-0.677519618,0.335683743,-0.606350189
Otu00039,-0.769191882,-0.818338227,-0.637898882,-0.40309011
Otu00015,-0.762147998,-0.67202796,0.148906321,-0.577291531
Otu00006,-0.761316441,-0.683919073,-0.778041327,-0.659370852
Otu00023,-0.729416874,-0.660036269,-0.526889256,-0.251971385
Otu00013,-0.725238142,-0.817009986,-0.711973795,-0.615624857
Otu00029,-0.700578033,-0.780901864,-0.360796689,-0.430946777
Otu00002,-0.631261083,-0.825853301,0.149780782,-0.608923943
Otu00016,-0.628440275,-0.823732151,0.609225071,-0.563421459
Otu00001,-0.627306062,-0.817391324,-0.608490312,-0.468852277
Otu00027,-0.624512032,-0.033824237,0.158176145,-0.506057156
Otu00004,-0.620489097,-0.830479925,-0.293463376,-0.659739152
Otu00081,-0.618341821,-0.47295747,-0.209511981,-0.465334039
Otu00086,-0.584611459,-0.387618614,-0.348963584,0.090407985
Otu00064,-0.583090348,-0.203626011,0.219936365,-0.418584958
Otu00026,-0.576027982,-0.664651022,-0.369775115,-0.357885545
Otu00018,-0.560682965,-0.385523623,-0.756383138,-0.391947206
Otu00038,-0.558187693,-0.745606223,-0.319727284,-0.365443437
Otu00005,-0.556589913,-0.094428754,0.719751586,-0.242313775
Otu00012,-0.551725321,-0.854015439,-0.588556393,-0.603983198
Otu00042,-0.546220653,-0.664499294,-0.569114858,-0.598536055
Otu00033,-0.532152428,-0.77720236,-0.26809093,-0.227522753
Otu00019,-0.513193468,-0.85764162,0.281001831,-0.535583175
Otu00009,-0.502303399,-0.334772279,-0.025640951,-0.245068102
Otu00050,-0.50154276,-0.779887799,-0.555094747,-0.368081978
Otu00181,-0.496305749,-0.603806806,-0.293320955,-0.219411276
Otu00024,-0.490167871,0.278766682,-0.477674078,-0.532530327
Otu00125,-0.487960229,-0.664581114,-0.416654509,-0.23481204
Otu00034,-0.484582092,-0.649026773,-0.453464334,-0.197808337
Otu00286,-0.477052477,-0.702168859,-0.310915872,-0.095166795
Otu00092,-0.467533229,-0.509208215,-0.040657977,-0.34651809
Otu00076,-0.466757548,-0.586495426,-0.479408699,-0.493785409
Otu02109,-0.464743163,-0.465383494,-0.276032414,-0.227750533
Otu00035,-0.456900842,-0.517841511,0.241320576,-0.580748914
Otu00060,-0.437981747,-0.467863648,0.116766597,-0.300497734
Otu00095,-0.432224947,-0.587466331,-0.283335196,-0.291514969
Otu00053,-0.427390728,-0.585656412,-0.243152449,-0.370965286
Otu00021,-0.404422685,-0.795355081,-0.605228165,-0.136548753
Otu00036,-0.381870959,-0.456288759,-0.09161105,0.002649385
Otu00008,-0.359565052,-0.313360352,0.424555022,-0.638985788
Otu00022,-0.343246841,-0.838827476,-0.614822476,-0.247331478
Otu00032,-0.317989929,-0.534611374,0.003466274,-0.272674712
Otu00056,-0.295090629,-0.169087402,0.277142568,-0.006337074
Otu00071,-0.206925591,-0.467863648,-0.383353617,0.027959623
Otu00031,-0.168723988,-0.508080087,-0.390788706,-0.0773642
Otu00010,-0.140456348,0.773491176,0.637904943,0.021073262
Otu00017,-0.100217087,-0.668966629,-0.702431321,0.162833196
Otu00083,-0.008378753,0.025991601,0,0.510826328
Otu00222,-0.006106359,0.123284744,0,0.391066373
Otu00251,0,-0.02319728,-0.131915428,0.51423403
Otu00228,0.074128972,0.185990462,0,0.387373495
Otu00043,0.083989582,-0.664930875,0.397514598,-0.180763772
Otu00277,0.090483377,-0.062140418,0,0.57507746
Otu00014,0.0985269,0.641445727,-0.229663705,0.549057258
Otu00119,0.10900275,0.168399335,0,0.511852084
Otu00025,0.11268274,-0.176565709,-0.178224649,0.428193662
Otu00102,0.121206576,-0.336702514,-0.079948585,0.419072713
Otu00097,0.174527752,-0.23153246,0.666815516,0.051503543
Otu00040,0.196603195,0.181333816,-0.02451073,0.411065162
Otu00061,0.199961711,0.106619967,-0.235739491,0.630014187
Otu00068,0.203923846,0.006806651,-0.189362107,0.618769385
Otu00045,0.215833723,0.095007579,-0.035479818,0.467250247
Otu00174,0.221463232,0.152148667,-0.131915428,0.574426998
Otu00070,0.245421392,0.293063161,-0.131915428,0.6052869
Otu00154,0.261996684,0.41507001,-0.131915428,0.070935006
Otu00046,0.267653468,0.118702659,0.022379362,0.495439993
Otu00057,0.309473451,0.831359898,0.002187913,0.143956335
Otu00065,0.314515236,-0.06879963,0.187382673,0.714268135
Otu00044,0.335245079,0.135043419,-0.018110911,0.569820638
Otu00078,0.36237249,0.161218512,0,0.42141414
Otu00011,0.561940139,0.840855597,-0.201755844,0.677863815
