otu,phyla,name
Otu001,Bacteroidetes,Porphyromonadaceae
Otu002,Firmicutes,Lachnospiraceae
Otu003,Bacteroidetes,Bacteroidaceae:Bacteroides
Otu004,Firmicutes,Ruminococcaceae
Otu005,Firmicutes,Lactobacillaceae:Lactobacillus
Otu006,Verrucomicrobia,Verrucomicrobiaceae:Akkermansia
Otu007,Proteobacteria,Enterobacteriaceae
Otu008,Firmicutes,*Clostridiales
Otu009,Bacteroidetes,*Bacteroidetes
Otu011,Firmicutes,Erysipelotrichaceae
Otu013,Firmicutes,*Firmicutes
Otu014,Bacteroidetes,Rikenellaceae:Alistipes
Otu016,Actinobacteria,Bifidobacteriaceae:Bifidobacterium
Otu018,Firmicutes,Staphylococcaceae:Staphylococcus
Otu019,Firmicutes,Clostridiaceae:Clostridium
Otu021,Firmicutes,Streptococcaceae
Otu024,Proteobacteria,Pseudomonadaceae:Pseudomonas
