CFU	group	mouse	day	abx	dose	delayed	cdiff	preAbx	recovDays
002-1D-5	0	2	1	-5	none	NA	FALSE	TRUE	FALSE	NA
002-1D-6	0	2	1	-6	none	NA	FALSE	TRUE	TRUE	NA
002-1D4	0	2	1	4	none	NA	FALSE	TRUE	FALSE	NA
004-1D-1	0	4	1	-1	clinda	10mg/kg	FALSE	TRUE	TRUE	NA
004-1D0	NA	4	1	0	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-1D1	6e+07	4	1	1	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-1D10	0	4	1	10	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-1D2	5600000	4	1	2	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-1D3	4e+05	4	1	3	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-1D4	3000	4	1	4	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-1D5	0	4	1	5	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-1D6	100	4	1	6	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-1D7	0	4	1	7	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-1D8	0	4	1	8	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-1D9	0	4	1	9	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-2D-1	0	4	2	-1	clinda	10mg/kg	FALSE	TRUE	TRUE	NA
004-2D0	NA	4	2	0	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-2D1	7300000	4	2	1	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-2D10	0	4	2	10	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-2D2	10200000	4	2	2	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-2D3	11500000	4	2	3	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-2D4	0	4	2	4	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-2D5	0	4	2	5	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-2D6	100	4	2	6	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-2D7	0	4	2	7	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-2D8	0	4	2	8	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-2D9	0	4	2	9	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-359D-1	0	4	359	-1	clinda	10mg/kg	FALSE	TRUE	TRUE	NA
004-359D0	NA	4	359	0	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-359D1	23300000	4	359	1	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-359D10	0	4	359	10	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-359D2	7500000	4	359	2	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-359D3	770000	4	359	3	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-359D4	18000	4	359	4	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-359D5	3600	4	359	5	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-359D6	0	4	359	6	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-359D7	0	4	359	7	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-359D8	0	4	359	8	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-359D9	0	4	359	9	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-4D-1	0	4	4	-1	clinda	10mg/kg	FALSE	TRUE	TRUE	NA
004-4D0	NA	4	4	0	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-4D1	110000	4	4	1	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-4D10	0	4	4	10	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-4D2	12800000	4	4	2	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-4D3	1260000	4	4	3	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-4D4	58000	4	4	4	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-4D5	0	4	4	5	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-4D6	0	4	4	6	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-4D7	0	4	4	7	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-4D8	0	4	4	8	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
004-4D9	0	4	4	9	clinda	10mg/kg	FALSE	TRUE	FALSE	NA
005-1D-1	0	5	1	-1	clinda	10mg/kg	FALSE	FALSE	TRUE	NA
005-1D0	NA	5	1	0	clinda	10mg/kg	FALSE	FALSE	FALSE	NA
005-1D1	NA	5	1	1	clinda	10mg/kg	FALSE	FALSE	FALSE	NA
005-1D10	NA	5	1	10	clinda	10mg/kg	FALSE	FALSE	FALSE	NA
005-1D2	NA	5	1	2	clinda	10mg/kg	FALSE	FALSE	FALSE	NA
005-1D4	NA	5	1	4	clinda	10mg/kg	FALSE	FALSE	FALSE	NA
005-1D5	NA	5	1	5	clinda	10mg/kg	FALSE	FALSE	FALSE	NA
005-1D6	NA	5	1	6	clinda	10mg/kg	FALSE	FALSE	FALSE	NA
005-1D7	NA	5	1	7	clinda	10mg/kg	FALSE	FALSE	FALSE	NA
005-1D8	NA	5	1	8	clinda	10mg/kg	FALSE	FALSE	FALSE	NA
005-1D9	NA	5	1	9	clinda	10mg/kg	FALSE	FALSE	FALSE	NA
005-361D-1	0	5	361	-1	clinda	10mg/kg	FALSE	FALSE	TRUE	NA
005-361D0	NA	5	361	0	clinda	10mg/kg	FALSE	FALSE	FALSE	NA
005-361D1	NA	5	361	1	clinda	10mg/kg	FALSE	FALSE	FALSE	NA
005-361D10	NA	5	361	10	clinda	10mg/kg	FALSE	FALSE	FALSE	NA
005-361D2	NA	5	361	2	clinda	10mg/kg	FALSE	FALSE	FALSE	NA
005-361D3	NA	5	361	3	clinda	10mg/kg	FALSE	FALSE	FALSE	NA
005-361D4	NA	5	361	4	clinda	10mg/kg	FALSE	FALSE	FALSE	NA
005-361D5	NA	5	361	5	clinda	10mg/kg	FALSE	FALSE	FALSE	NA
005-361D6	NA	5	361	6	clinda	10mg/kg	FALSE	FALSE	FALSE	NA
005-361D7	NA	5	361	7	clinda	10mg/kg	FALSE	FALSE	FALSE	NA
005-361D8	NA	5	361	8	clinda	10mg/kg	FALSE	FALSE	FALSE	NA
005-361D9	NA	5	361	9	clinda	10mg/kg	FALSE	FALSE	FALSE	NA
007-1D-1	NA	7	1	-1	vanc	0.625	FALSE	TRUE	FALSE	NA
007-1D-6	0	7	1	-6	vanc	0.625	FALSE	TRUE	TRUE	NA
007-1D0	NA	7	1	0	vanc	0.625	FALSE	TRUE	FALSE	NA
007-1D10	12700000	7	1	10	vanc	0.625	FALSE	TRUE	FALSE	NA
007-1D2	8.3e+07	7	1	2	vanc	0.625	FALSE	TRUE	FALSE	NA
007-1D3	3.4e+08	7	1	3	vanc	0.625	FALSE	TRUE	FALSE	NA
007-1D4	5.5e+07	7	1	4	vanc	0.625	FALSE	TRUE	FALSE	NA
007-1D5	1.6e+08	7	1	5	vanc	0.625	FALSE	TRUE	FALSE	NA
007-1D6	2.6e+08	7	1	6	vanc	0.625	FALSE	TRUE	FALSE	NA
007-1D7	2.1e+07	7	1	7	vanc	0.625	FALSE	TRUE	FALSE	NA
007-1D8	36800000	7	1	8	vanc	0.625	FALSE	TRUE	FALSE	NA
007-1D9	8200000	7	1	9	vanc	0.625	FALSE	TRUE	FALSE	NA
007-2D-1	NA	7	2	-1	vanc	0.625	FALSE	TRUE	FALSE	NA
007-2D-6	0	7	2	-6	vanc	0.625	FALSE	TRUE	TRUE	NA
007-2D0	NA	7	2	0	vanc	0.625	FALSE	TRUE	FALSE	NA
007-2D1	0	7	2	1	vanc	0.625	FALSE	TRUE	FALSE	NA
007-2D10	6300000	7	2	10	vanc	0.625	FALSE	TRUE	FALSE	NA
007-2D2	9.9e+07	7	2	2	vanc	0.625	FALSE	TRUE	FALSE	NA
007-2D3	2.8e+08	7	2	3	vanc	0.625	FALSE	TRUE	FALSE	NA
007-2D4	12100000	7	2	4	vanc	0.625	FALSE	TRUE	FALSE	NA
007-2D5	11900000	7	2	5	vanc	0.625	FALSE	TRUE	FALSE	NA
007-2D6	5.7e+07	7	2	6	vanc	0.625	FALSE	TRUE	FALSE	NA
007-2D7	3.1e+07	7	2	7	vanc	0.625	FALSE	TRUE	FALSE	NA
007-2D8	38400000	7	2	8	vanc	0.625	FALSE	TRUE	FALSE	NA
007-2D9	2.3e+07	7	2	9	vanc	0.625	FALSE	TRUE	FALSE	NA
007-357D-1	NA	7	357	-1	vanc	0.625	FALSE	TRUE	FALSE	NA
007-357D-6	0	7	357	-6	vanc	0.625	FALSE	TRUE	TRUE	NA
007-357D0	NA	7	357	0	vanc	0.625	FALSE	TRUE	FALSE	NA
007-357D1	0	7	357	1	vanc	0.625	FALSE	TRUE	FALSE	NA
007-357D10	8500000	7	357	10	vanc	0.625	FALSE	TRUE	FALSE	NA
007-357D2	2.5e+07	7	357	2	vanc	0.625	FALSE	TRUE	FALSE	NA
007-357D3	1.65e+08	7	357	3	vanc	0.625	FALSE	TRUE	FALSE	NA
007-357D4	9.2e+07	7	357	4	vanc	0.625	FALSE	TRUE	FALSE	NA
007-357D5	8.1e+08	7	357	5	vanc	0.625	FALSE	TRUE	FALSE	NA
007-357D6	4.3e+07	7	357	6	vanc	0.625	FALSE	TRUE	FALSE	NA
007-357D7	12700000	7	357	7	vanc	0.625	FALSE	TRUE	FALSE	NA
007-357D8	46800000	7	357	8	vanc	0.625	FALSE	TRUE	FALSE	NA
007-357D9	2e+07	7	357	9	vanc	0.625	FALSE	TRUE	FALSE	NA
007-358D-1	NA	7	358	-1	vanc	0.625	FALSE	TRUE	FALSE	NA
007-358D-6	0	7	358	-6	vanc	0.625	FALSE	TRUE	TRUE	NA
