CFU	group	mouse	day	abx	dose	delayed	cdiff	preAbx	recovDays
007-358D0	NA	7	358	0	vanc	0.625	FALSE	TRUE	FALSE	NA
007-358D1	0	7	358	1	vanc	0.625	FALSE	TRUE	FALSE	NA
007-358D10	6e+06	7	358	10	vanc	0.625	FALSE	TRUE	FALSE	NA
007-358D2	7.4e+07	7	358	2	vanc	0.625	FALSE	TRUE	FALSE	NA
007-358D3	1.8e+08	7	358	3	vanc	0.625	FALSE	TRUE	FALSE	NA
007-358D5	2.8e+08	7	358	5	vanc	0.625	FALSE	TRUE	FALSE	NA
007-358D6	7.3e+07	7	358	6	vanc	0.625	FALSE	TRUE	FALSE	NA
007-358D7	3.1e+07	7	358	7	vanc	0.625	FALSE	TRUE	FALSE	NA
007-358D8	25200000	7	358	8	vanc	0.625	FALSE	TRUE	FALSE	NA
007-358D9	9600000	7	358	9	vanc	0.625	FALSE	TRUE	FALSE	NA
007-1D1	0	7	1	1	vanc	0.625	FALSE	TRUE	FALSE	NA
008-1D-1	NA	8	1	-1	vanc	0.625	FALSE	FALSE	FALSE	NA
008-1D-6	0	8	1	-6	vanc	0.625	FALSE	FALSE	TRUE	NA
008-1D0	NA	8	1	0	vanc	0.625	FALSE	FALSE	FALSE	NA
008-1D10	NA	8	1	10	vanc	0.625	FALSE	FALSE	FALSE	NA
008-1D2	NA	8	1	2	vanc	0.625	FALSE	FALSE	FALSE	NA
008-1D3	NA	8	1	3	vanc	0.625	FALSE	FALSE	FALSE	NA
008-1D4	NA	8	1	4	vanc	0.625	FALSE	FALSE	FALSE	NA
008-1D5	NA	8	1	5	vanc	0.625	FALSE	FALSE	FALSE	NA
008-1D6	NA	8	1	6	vanc	0.625	FALSE	FALSE	FALSE	NA
008-1D7	NA	8	1	7	vanc	0.625	FALSE	FALSE	FALSE	NA
008-1D8	NA	8	1	8	vanc	0.625	FALSE	FALSE	FALSE	NA
008-1D9	NA	8	1	9	vanc	0.625	FALSE	FALSE	FALSE	NA
008-2D-1	NA	8	2	-1	vanc	0.625	FALSE	FALSE	FALSE	NA
008-2D-6	0	8	2	-6	vanc	0.625	FALSE	FALSE	TRUE	NA
008-2D0	NA	8	2	0	vanc	0.625	FALSE	FALSE	FALSE	NA
008-2D1	NA	8	2	1	vanc	0.625	FALSE	FALSE	FALSE	NA
008-2D10	NA	8	2	10	vanc	0.625	FALSE	FALSE	FALSE	NA
008-2D2	NA	8	2	2	vanc	0.625	FALSE	FALSE	FALSE	NA
008-2D3	NA	8	2	3	vanc	0.625	FALSE	FALSE	FALSE	NA
008-2D4	NA	8	2	4	vanc	0.625	FALSE	FALSE	FALSE	NA
008-2D5	NA	8	2	5	vanc	0.625	FALSE	FALSE	FALSE	NA
008-2D6	NA	8	2	6	vanc	0.625	FALSE	FALSE	FALSE	NA
008-2D7	NA	8	2	7	vanc	0.625	FALSE	FALSE	FALSE	NA
008-2D8	NA	8	2	8	vanc	0.625	FALSE	FALSE	FALSE	NA
008-2D9	NA	8	2	9	vanc	0.625	FALSE	FALSE	FALSE	NA
008-362D-1	NA	8	362	-1	vanc	0.625	FALSE	FALSE	FALSE	NA
008-362D-6	0	8	362	-6	vanc	0.625	FALSE	FALSE	TRUE	NA
008-362D0	NA	8	362	0	vanc	0.625	FALSE	FALSE	FALSE	NA
008-362D1	NA	8	362	1	vanc	0.625	FALSE	FALSE	FALSE	NA
008-362D10	NA	8	362	10	vanc	0.625	FALSE	FALSE	FALSE	NA
008-362D2	NA	8	362	2	vanc	0.625	FALSE	FALSE	FALSE	NA
008-362D3	NA	8	362	3	vanc	0.625	FALSE	FALSE	FALSE	NA
008-362D4	NA	8	362	4	vanc	0.625	FALSE	FALSE	FALSE	NA
008-362D6	NA	8	362	6	vanc	0.625	FALSE	FALSE	FALSE	NA
008-362D7	NA	8	362	7	vanc	0.625	FALSE	FALSE	FALSE	NA
008-362D8	NA	8	362	8	vanc	0.625	FALSE	FALSE	FALSE	NA
008-362D9	NA	8	362	9	vanc	0.625	FALSE	FALSE	FALSE	NA
008-1D1	NA	8	1	1	vanc	0.625	FALSE	FALSE	FALSE	NA
015-1D-1	0	15	1	-1	cipro	10mg/kg	FALSE	TRUE	TRUE	NA
015-1D0	NA	15	1	0	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-1D1	0	15	1	1	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-1D10	0	15	1	10	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-1D2	0	15	1	2	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-1D3	0	15	1	3	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-1D4	0	15	1	4	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-1D6	0	15	1	6	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-1D7	0	15	1	7	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-1D8	0	15	1	8	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-1D9	0	15	1	9	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-2D-1	0	15	2	-1	cipro	10mg/kg	FALSE	TRUE	TRUE	NA
015-2D0	NA	15	2	0	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-2D1	0	15	2	1	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-2D10	0	15	2	10	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-2D2	0	15	2	2	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-2D3	0	15	2	3	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-2D4	0	15	2	4	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-2D5	0	15	2	5	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-2D6	0	15	2	6	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-2D7	0	15	2	7	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-2D8	0	15	2	8	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-2D9	0	15	2	9	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-3D-1	0	15	3	-1	cipro	10mg/kg	FALSE	TRUE	TRUE	NA
015-3D0	NA	15	3	0	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-3D1	0	15	3	1	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-3D10	0	15	3	10	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-3D2	0	15	3	2	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-3D3	0	15	3	3	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-3D4	0	15	3	4	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-3D5	0	15	3	5	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-3D6	0	15	3	6	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-3D7	0	15	3	7	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-3D8	0	15	3	8	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
015-3D9	0	15	3	9	cipro	10mg/kg	FALSE	TRUE	FALSE	NA
017-1D-1	0	17	1	-1	cipro	10mg/kg	FALSE	FALSE	TRUE	NA
017-1D0	NA	17	1	0	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
017-1D1	NA	17	1	1	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
017-1D10	NA	17	1	10	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
017-1D2	NA	17	1	2	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
017-1D3	NA	17	1	3	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
017-1D4	NA	17	1	4	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
017-1D5	NA	17	1	5	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
017-1D6	NA	17	1	6	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
017-1D7	NA	17	1	7	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
017-1D8	NA	17	1	8	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
017-1D9	NA	17	1	9	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
017-2D-1	0	17	2	-1	cipro	10mg/kg	FALSE	FALSE	TRUE	NA
017-2D0	NA	17	2	0	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
017-2D1	NA	17	2	1	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
017-2D10	NA	17	2	10	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
017-2D2	NA	17	2	2	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
017-2D3	NA	17	2	3	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
017-2D4	NA	17	2	4	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
017-2D5	NA	17	2	5	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
017-2D6	NA	17	2	6	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
017-2D7	NA	17	2	7	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
017-2D8	NA	17	2	8	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
017-2D9	NA	17	2	9	cipro	10mg/kg	FALSE	FALSE	FALSE	NA
021-1D-1	NA	21	1	-1	amp	0.5	FALSE	TRUE	FALSE	NA
021-1D-6	0	21	1	-6	amp	0.5	FALSE	TRUE	TRUE	NA
021-1D0	NA	21	1	0	amp	0.5	FALSE	TRUE	FALSE	NA
021-1D1	70000	21	1	1	amp	0.5	FALSE	TRUE	FALSE	NA
021-1D10	10500000	21	1	10	amp	0.5	FALSE	TRUE	FALSE	NA
021-1D2	27200000	21	1	2	amp	0.5	FALSE	TRUE	FALSE	NA
021-1D3	1.59e+08	21	1	3	amp	0.5	FALSE	TRUE	FALSE	NA
021-1D4	2.5e+08	21	1	4	amp	0.5	FALSE	TRUE	FALSE	NA
021-1D5	5.6e+07	21	1	5	amp	0.5	FALSE	TRUE	FALSE	NA
021-1D6	4e+07	21	1	6	amp	0.5	FALSE	TRUE	FALSE	NA
021-1D7	3.3e+07	21	1	7	amp	0.5	FALSE	TRUE	FALSE	NA
021-1D8	3.5e+07	21	1	8	amp	0.5	FALSE	TRUE	FALSE	NA
021-1D9	3.3e+07	21	1	9	amp	0.5	FALSE	TRUE	FALSE	NA
021-2D-6	0	21	2	-6	amp	0.5	FALSE	TRUE	TRUE	NA
021-2D1	35000	21	2	1	amp	0.5	FALSE	TRUE	FALSE	NA
021-2D10	10300000	21	2	10	amp	0.5	FALSE	TRUE	FALSE	NA
021-2D2	34400000	21	2	2	amp	0.5	FALSE	TRUE	FALSE	NA
021-2D3	2.05e+08	21	2	3	amp	0.5	FALSE	TRUE	FALSE	NA
021-2D4	1.7e+08	21	2	4	amp	0.5	FALSE	TRUE	FALSE	NA
021-2D5	6.2e+07	21	2	5	amp	0.5	FALSE	TRUE	FALSE	NA
021-2D6	6300000	21	2	6	amp	0.5	FALSE	TRUE	FALSE	NA
021-2D7	8100000	21	2	7	amp	0.5	FALSE	TRUE	FALSE	NA
021-2D8	11500000	21	2	8	amp	0.5	FALSE	TRUE	FALSE	NA
021-2D9	2.5e+07	21	2	9	amp	0.5	FALSE	TRUE	FALSE	NA
021-3D-1	NA	21	3	-1	amp	0.5	FALSE	TRUE	FALSE	NA
021-3D1	114000	21	3	1	amp	0.5	FALSE	TRUE	FALSE	NA
021-3D-6	0	21	3	-6	amp	0.5	FALSE	TRUE	TRUE	NA
021-3D10	5e+06	21	3	10	amp	0.5	FALSE	TRUE	FALSE	NA
021-3D2	31200000	21	3	2	amp	0.5	FALSE	TRUE	FALSE	NA
021-3D3	1.72e+08	21	3	3	amp	0.5	FALSE	TRUE	FALSE	NA
021-3D4	2.7e+08	21	3	4	amp	0.5	FALSE	TRUE	FALSE	NA
021-3D5	1.2e+07	21	3	5	amp	0.5	FALSE	TRUE	FALSE	NA
021-3D6	4e+07	21	3	6	amp	0.5	FALSE	TRUE	FALSE	NA
021-3D7	3.9e+07	21	3	7	amp	0.5	FALSE	TRUE	FALSE	NA
021-3D8	4.6e+07	21	3	8	amp	0.5	FALSE	TRUE	FALSE	NA
021-3D9	11900000	21	3	9	amp	0.5	FALSE	TRUE	FALSE	NA
021-4D-1	NA	21	4	-1	amp	0.5	FALSE	TRUE	FALSE	NA
021-4D-6	0	21	4	-6	amp	0.5	FALSE	TRUE	TRUE	NA
021-4D0	NA	21	4	0	amp	0.5	FALSE	TRUE	FALSE	NA
021-4D1	2700	21	4	1	amp	0.5	FALSE	TRUE	FALSE	NA
021-4D10	9e+06	21	4	10	amp	0.5	FALSE	TRUE	FALSE	NA
021-4D2	37600000	21	4	2	amp	0.5	FALSE	TRUE	FALSE	NA
021-4D3	1.77e+08	21	4	3	amp	0.5	FALSE	TRUE	FALSE	NA
021-4D4	1.38e+08	21	4	4	amp	0.5	FALSE	TRUE	FALSE	NA
021-4D5	1.7e+07	21	4	5	amp	0.5	FALSE	TRUE	FALSE	NA
021-4D6	5.4e+07	21	4	6	amp	0.5	FALSE	TRUE	FALSE	NA
021-4D7	2e+07	21	4	7	amp	0.5	FALSE	TRUE	FALSE	NA
021-4D8	2.4e+07	21	4	8	amp	0.5	FALSE	TRUE	FALSE	NA
021-4D9	12200000	21	4	9	amp	0.5	FALSE	TRUE	FALSE	NA
022-1D-6	0	22	1	-6	amp	0.5	FALSE	FALSE	TRUE	NA
022-1D0	NA	22	1	0	amp	0.5	FALSE	FALSE	FALSE	NA
022-1D1	NA	22	1	1	amp	0.5	FALSE	FALSE	FALSE	NA
022-1D10	NA	22	1	10	amp	0.5	FALSE	FALSE	FALSE	NA
022-1D2	NA	22	1	2	amp	0.5	FALSE	FALSE	FALSE	NA
022-1D3	NA	22	1	3	amp	0.5	FALSE	FALSE	FALSE	NA
022-1D4	NA	22	1	4	amp	0.5	FALSE	FALSE	FALSE	NA
022-1D5	NA	22	1	5	amp	0.5	FALSE	FALSE	FALSE	NA
022-1D6	NA	22	1	6	amp	0.5	FALSE	FALSE	FALSE	NA
022-1D7	NA	22	1	7	amp	0.5	FALSE	FALSE	FALSE	NA
022-1D8	NA	22	1	8	amp	0.5	FALSE	FALSE	FALSE	NA
022-1D9	NA	22	1	9	amp	0.5	FALSE	FALSE	FALSE	NA
022-2D-1	NA	22	2	-1	amp	0.5	FALSE	FALSE	FALSE	NA
022-2D1	NA	22	2	1	amp	0.5	FALSE	FALSE	FALSE	NA
022-2D10	NA	22	2	10	amp	0.5	FALSE	FALSE	FALSE	NA
022-2D2	NA	22	2	2	amp	0.5	FALSE	FALSE	FALSE	NA
022-2D3	NA	22	2	3	amp	0.5	FALSE	FALSE	FALSE	NA
022-2D4	NA	22	2	4	amp	0.5	FALSE	FALSE	FALSE	NA
022-2D5	NA	22	2	5	amp	0.5	FALSE	FALSE	FALSE	NA
022-2D6	NA	22	2	6	amp	0.5	FALSE	FALSE	FALSE	NA
022-2D7	NA	22	2	7	amp	0.5	FALSE	FALSE	FALSE	NA
022-2D8	NA	22	2	8	amp	0.5	FALSE	FALSE	FALSE	NA
022-2D9	NA	22	2	9	amp	0.5	FALSE	FALSE	FALSE	NA
022-3D-6	0	22	3	-6	amp	0.5	FALSE	FALSE	TRUE	NA
022-3D0	NA	22	3	0	amp	0.5	FALSE	FALSE	FALSE	NA
022-3D1	NA	22	3	1	amp	0.5	FALSE	FALSE	FALSE	NA
022-3D10	NA	22	3	10	amp	0.5	FALSE	FALSE	FALSE	NA
022-3D2	NA	22	3	2	amp	0.5	FALSE	FALSE	FALSE	NA
022-3D3	NA	22	3	3	amp	0.5	FALSE	FALSE	FALSE	NA
022-3D4	NA	22	3	4	amp	0.5	FALSE	FALSE	FALSE	NA
022-3D5	NA	22	3	5	amp	0.5	FALSE	FALSE	FALSE	NA
022-3D6	NA	22	3	6	amp	0.5	FALSE	FALSE	FALSE	NA
022-3D7	NA	22	3	7	amp	0.5	FALSE	FALSE	FALSE	NA
022-3D8	NA	22	3	8	amp	0.5	FALSE	FALSE	FALSE	NA
022-3D9	NA	22	3	9	amp	0.5	FALSE	FALSE	FALSE	NA
024-1D-1	NA	24	1	-1	cef	0.5	FALSE	TRUE	FALSE	NA
024-1D-6	0	24	1	-6	cef	0.5	FALSE	TRUE	TRUE	NA
024-1D0	NA	24	1	0	cef	0.5	FALSE	TRUE	FALSE	NA
024-1D1	3.4e+07	24	1	1	cef	0.5	FALSE	TRUE	FALSE	NA
024-1D10	34400000	24	1	10	cef	0.5	FALSE	TRUE	FALSE	NA
024-1D2	6.7e+07	24	1	2	cef	0.5	FALSE	TRUE	FALSE	NA
024-1D3	5e+07	24	1	3	cef	0.5	FALSE	TRUE	FALSE	NA
024-1D4	8e+07	24	1	4	cef	0.5	FALSE	TRUE	FALSE	NA
024-1D5	7.5e+07	24	1	5	cef	0.5	FALSE	TRUE	FALSE	NA
024-1D6	1.35e+08	24	1	6	cef	0.5	FALSE	TRUE	FALSE	NA
024-1D7	1.04e+08	24	1	7	cef	0.5	FALSE	TRUE	FALSE	NA
024-1D8	4.8e+07	24	1	8	cef	0.5	FALSE	TRUE	FALSE	NA
024-1D9	4.1e+07	24	1	9	cef	0.5	FALSE	TRUE	FALSE	NA
024-3D-1	NA	24	3	-1	cef	0.5	FALSE	TRUE	FALSE	NA
024-3D-6	0	24	3	-6	cef	0.5	FALSE	TRUE	TRUE	NA
024-3D0	NA	24	3	0	cef	0.5	FALSE	TRUE	FALSE	NA
024-3D1	7.8e+07	24	3	1	cef	0.5	FALSE	TRUE	FALSE	NA
024-3D10	10500000	24	3	10	cef	0.5	FALSE	TRUE	FALSE	NA
024-3D2	1.23e+08	24	3	2	cef	0.5	FALSE	TRUE	FALSE	NA
024-3D3	1.02e+08	24	3	3	cef	0.5	FALSE	TRUE	FALSE	NA
