Group,nextDayCFU,Otu00003,Otu00006,Otu00007,Otu00011,Otu00013,Otu00015,Otu00020,Otu00023,Otu00027,Otu00029,Otu00039,Otu00044,Otu00057,Otu00065,Otu00078
021-1D-6,0,46,290,132,1,154,5,69,42,3,2,11,0,0,0,0
021-2D-6,0,32,266,193,0,129,2,143,21,4,1,11,0,0,0,0
021-3D-6,0,33,273,148,0,122,3,120,21,8,2,0,0,0,0,0
021-4D-6,0,18,197,160,0,95,6,123,21,24,6,19,0,0,0,0
024-1D-6,0,57,202,183,0,181,6,44,23,3,3,19,0,0,0,0
024-3D-6,0,26,124,302,5,78,3,94,29,1,3,17,2,0,0,0
050-1D-6,0,44,143,338,2,21,36,84,32,2,2,2,0,0,0,0
050-2D-6,0,53,291,383,4,6,15,19,7,0,0,0,0,0,0,0
050-3D-6,0,52,92,394,5,51,10,10,58,1,8,11,0,0,0,0
050-4D-6,0,69,171,186,2,29,23,81,70,1,1,2,2,0,0,0
600-1D-6,0,19,84,376,3,75,13,65,15,0,1,23,0,0,0,0
600-3D-6,0,28,61,542,3,75,10,63,15,1,7,5,0,0,5,0
600-4D-6,0,7,14,158,18,46,4,62,12,0,0,32,0,0,1,0
007-1D-6,0,26,196,137,5,55,8,60,17,1,3,5,0,0,0,0
007-2D-6,0,50,165,70,4,76,1,161,3,0,7,2,0,0,0,0
007-357D-6,0,33,247,185,42,99,3,102,4,2,4,5,1,0,8,0
007-358D-6,0,66,234,253,16,36,2,78,31,1,1,10,0,0,2,0
039-1D-6,0,32,100,140,0,171,26,50,26,2,0,18,0,0,0,0
039-3D-6,0,39,215,165,3,55,30,71,15,0,2,3,0,0,0,0
040-1D-6,0,25,202,153,1,61,15,72,12,27,1,3,0,0,0,1
040-2D-6,0,34,165,167,0,61,11,55,25,7,2,35,0,0,0,0
040-3D-6,0,32,168,229,1,82,12,28,8,2,0,43,0,0,0,0
040-4D-6,0,9,110,93,8,108,33,60,49,4,0,25,6,0,0,0
103-1-D-6,0,10,282,217,4,52,7,5,6,0,7,0,7,0,1,0
103-2-D-6,0,5,219,368,7,129,7,1,27,1,1,2,4,0,0,0
103-3-D-6,0,40,154,391,4,9,30,103,2,4,2,0,1,1,0,0
047-1D-6,0,25,272,214,0,212,17,48,11,1,9,2,0,0,0,0
047-2D-6,0,37,242,212,0,103,15,74,8,2,4,1,0,0,0,0
047-3D-6,0,35,142,188,0,77,19,118,4,43,7,2,0,0,0,0
627-1D-6,0,73,170,165,3,103,5,169,17,15,4,5,2,0,0,0
627-2D-6,0,92,188,167,0,41,14,115,22,0,6,8,0,0,0,0
627-3D-6,0,22,100,99,21,32,16,119,10,1,1,8,1,0,5,0
627-4D-6,0,65,136,185,2,41,3,272,8,1,7,10,0,0,0,0
627-5D-6,0,42,181,144,34,36,1,179,1,3,1,4,0,0,9,0
002-1D-6,0,25,78,458,5,36,10,115,43,0,5,1,0,0,0,0
002-1D-5,0,23,36,322,2,52,9,177,116,0,10,2,0,0,0,0
004-1D-1,0,60,278,231,2,71,10,95,34,0,2,5,1,0,0,0
004-2D-1,0,51,275,285,2,97,27,28,26,0,6,3,0,0,0,0
004-359D-1,0,75,266,194,2,106,16,39,14,1,3,8,0,0,0,0
004-4D-1,0,64,121,299,3,34,33,81,9,0,2,36,0,0,0,0
015-1D-1,0,31,195,125,1,123,6,52,18,4,1,1,0,0,0,0
015-2D-1,0,66,234,161,2,154,7,88,3,1,2,3,0,0,0,0
015-3D-1,0,50,243,188,1,174,6,65,2,5,1,0,0,0,0,0
052-1-D-1,0,81,138,202,1,106,9,30,10,1,1,18,1,0,0,0
052-2-D-1,0,46,172,183,1,89,17,61,2,9,3,29,0,0,0,0
