otu	corSpear	pvalSpear	corKen	pvalKen
Otu00021	-0.404422685	0.000192106	-0.310221628	0.000240219
Otu00179	-0.399220239	0.00024267	-0.340642609	0.000433253
Otu00080	-0.395263646	0.000287792	-0.342786225	0.00050224
Otu00472	-0.394424726	0.000293876	-0.349216574	0.00050224
Otu00037	-0.390441548	0.0003482	-0.331232895	0.000671406
Otu00051	-0.384664821	0.000447323	-0.332298672	0.00070254
Otu00201	-0.38336488	0.000466416	-0.327453659	0.000838217
Otu00036	-0.381870959	0.000490689	-0.325871728	0.000671406
Otu00090	-0.372118227	0.0007478	-0.323097167	0.001172598
Otu00112	-0.370222687	0.00078596	-0.325076522	0.001182014
Otu00113	-0.370222687	0.00078596	-0.325076522	0.001182014
Otu00084	-0.369451944	0.000799712	-0.324377191	0.001172598
Otu00184	-0.366115555	0.00091019	-0.319029894	0.001384268
Otu00078	0.36237249	0.001052787	0.316349448	0.001615272
Otu00008	-0.359565052	0.00116832	-0.268391905	0.001803272
Otu00151	-0.356999272	0.001282305	-0.31244778	0.001807457
Otu00177	-0.356173201	0.001307558	-0.313043257	0.001791333
Otu00041	0.352090831	0.001527411	0.314244221	0.001852517
Otu00072	-0.345038272	0.002009482	-0.295350124	0.002697625
Otu00022	-0.343246841	0.002128996	-0.281704444	0.001836151
Otu00044	0.335245079	0.002884403	0.283354187	0.003389362
Otu00073	-0.33318113	0.003082696	-0.29411126	0.003697272
Otu00233	-0.33027292	0.003310659	-0.288383141	0.00424385
Otu00272	-0.330448332	0.003310659	-0.291129709	0.00424385
Otu00297	-0.330509652	0.003310659	-0.291595144	0.00424385
Otu00250	-0.327995783	0.003565222	-0.291785906	0.004392352
simpsoneven	-0.320456541	0.004678328	-0.239902753	0.005137859
Otu00032	-0.317989929	0.005060836	-0.272794959	0.005467862
Otu00182	-0.316740339	0.005231891	-0.279512738	0.006325024
Otu00088	-0.316132034	0.00528264	-0.27715941	0.006122978
Otu00065	0.314515236	0.005535258	0.266317335	0.006559758
Otu00120	0.312925036	0.005793363	0.273279399	0.007290394
Otu00300	-0.310234996	0.006308124	-0.273866939	0.007196834
Otu00163	-0.309893353	0.006309285	-0.274539955	0.007633876
Otu00057	0.309473451	0.006329052	0.272166031	0.008411176
Otu00373	-0.302725624	0.0078979	-0.267900829	0.00928693
Otu00514	-0.302577016	0.0078979	-0.265832066	0.00928693
Otu00056	-0.295090629	0.010117988	-0.253556619	0.011272905
Otu00164	-0.294759751	0.010117988	-0.259808102	0.011625812
Otu00167	0.292171425	0.010924786	0.257956267	0.01329004
Otu00129	0.290738383	0.011339031	0.256158582	0.012909604
Otu00108	-0.288253085	0.011832043	-0.255261436	0.01329004
Otu00135	-0.28822912	0.011832043	-0.254755968	0.01329004
Otu00150	-0.288523106	0.011832043	-0.257834701	0.01329004
Otu00412	-0.288172227	0.011832043	-0.253629554	0.01329004
Otu00098	-0.286170396	0.01251358	-0.250697322	0.013921795
Otu00047	-0.284332508	0.013158422	-0.251617388	0.01329004
Otu00387	-0.275361532	0.017417038	-0.240110822	0.019659669
Otu00099	-0.273691688	0.018179421	-0.245599463	0.020018123
Otu00502	-0.273366445	0.018182196	-0.242123193	0.020019441
Otu00276	-0.270227112	0.019870602	-0.237756558	0.021391609
Otu00048	-0.268666366	0.02065627	-0.231296295	0.022087239
Otu00046	0.267653468	0.021107809	0.229691557	0.024077485
Otu00189	-0.266455108	0.021692739	-0.231269377	0.023841413
Otu00126	-0.265602451	0.022056519	-0.234628976	0.024220868
Otu00079	0.265254743	0.022081437	0.233387012	0.023841413
Otu00154	0.261996684	0.024163621	0.233124047	0.026320475
Otu00104	-0.258016928	0.026280211	-0.229491573	0.027939836
Otu00159	-0.258013718	0.026280211	-0.229354112	0.027939836
Otu00275	-0.257984837	0.026280211	-0.229079929	0.027939836
Otu00788	-0.258126128	0.026280211	-0.23073995	0.027939836
Otu00082	0.255322673	0.027941567	0.228807436	0.026949182
Otu00541	0.255324928	0.027941567	0.229349311	0.028986032
Otu00180	-0.249649502	0.032709529	-0.22077774	0.036447951
rareOTUs	-0.248926213	0.033109624	-0.178920834	0.046501581
Otu00070	0.245421392	0.036302779	0.212086802	0.039412417
Otu00133	0.244736619	0.036700002	0.21674483	0.039618003
Otu00059	-0.242054718	0.036835551	-0.216561567	0.039618003
Otu00075	-0.241980963	0.036835551	-0.2155445	0.039618003
Otu00100	-0.242051364	0.036835551	-0.21641539	0.039618003
Otu00109	-0.242051364	0.036835551	-0.21641539	0.039618003
Otu00128	-0.242054718	0.036835551	-0.216561567	0.039618003
Otu00143	-0.242589955	0.036835551	-0.211517651	0.040610452
Otu00206	-0.242001071	0.036835551	-0.215688918	0.039618003
Otu00321	-0.241970911	0.036835551	-0.215256531	0.039618003
Otu00342	0.24207878	0.036835551	0.215005362	0.040738514
Otu00028	-0.237215918	0.04173736	-0.206220696	0.043768103
Otu00103	-0.235341122	0.043266992	-0.20720901	0.046501581
Otu00132	-0.235613176	0.043266992	-0.20857442	0.045469236
Otu00282	0.231594559	0.047555604	0.203444108	0.052825727
Otu00290	0.227165933	0.053154319	0.201878818	0.054433144
Otu00058	0.226181992	0.05317536	0.198050419	0.054433144
Otu00094	-0.225263282	0.05317536	-0.202184855	0.054433144
Otu00139	-0.225263282	0.05317536	-0.202184855	0.054433144
Otu00172	-0.225210338	0.05317536	-0.201411679	0.054433144
Otu00242	-0.225175062	0.05317536	-0.200799484	0.054433144
Otu00299	-0.225263282	0.05317536	-0.202184855	0.054433144
Otu00346	-0.225213866	0.05317536	-0.201565604	0.054433144
Otu00115	-0.22424036	0.054108443	-0.200906737	0.054433144
Otu00174	0.221463232	0.057773551	0.196866789	0.059947442
Otu00106	-0.220198722	0.059277553	-0.196468371	0.059947442
Otu00339	-0.219664983	0.059676452	-0.196571904	0.059947442
Otu00205	-0.218742287	0.060685228	-0.190730801	0.065168254
Otu00271	-0.21636594	0.064049494	-0.190404893	0.066645038
Otu00045	0.215833723	0.06447417	0.186782873	0.066294798
Otu00241	0.211051142	0.072245247	0.186513642	0.076756536
Otu00246	-0.210353574	0.072514266	-0.187536758	0.07244185
Otu00505	0.210522114	0.072514266	0.191172059	0.06995299
Otu00144	-0.207384709	0.077003111	-0.185226182	0.077757163
Otu00576	-0.207440983	0.077003111	-0.186210562	0.077757163
Otu00071	-0.206925591	0.077358959	-0.181160694	0.076756536
Otu00406	0.206204017	0.078220239	0.184254476	0.079300022
Otu00068	0.203923846	0.082152055	0.178428027	0.079300022
Otu00217	-0.202294851	0.084898141	-0.180940374	0.083061378
