Group	nextDayCFU	invsimpson	simpsoneven	shannoneven	shannon	Otu00001	Otu00002	Otu00003	Otu00004	Otu00005	Otu00006	Otu00007	Otu00008	Otu00009	Otu00010	Otu00011	Otu00012	Otu00013	Otu00014	Otu00015	Otu00016	Otu00017	Otu00018	Otu00019	Otu00020	Otu00021	Otu00022	Otu00023	Otu00024	Otu00025	Otu00026	Otu00027	Otu00028	Otu00029	Otu00030	Otu00031	Otu00032	Otu00033	Otu00034	Otu00035	Otu00036	Otu00037	Otu00038	Otu00039	Otu00040	Otu00041	Otu00042	Otu00043	Otu00044	Otu00045	Otu00046	Otu00047	Otu00048	Otu00049	Otu00050	Otu00051	Otu00052	Otu00053	Otu00054	Otu00055	Otu00056	Otu00057	Otu00058	Otu00059	Otu00060	Otu00061	Otu00062	Otu00063	Otu00064	Otu00065	Otu00066	Otu00067	Otu00068	Otu00069	Otu00070	Otu00071	Otu00072	Otu00073	Otu00074	Otu00075	Otu00076	Otu00077	Otu00078	Otu00079	Otu00080	Otu00081	Otu00082	Otu00083	Otu00084	Otu00085	Otu00086	Otu00087	Otu00088	Otu00089	Otu00090	Otu00091	Otu00092	Otu00093	Otu00094	Otu00095	Otu00096	Otu00097	Otu00098	Otu00099	Otu00100	Otu00101	Otu00102	Otu00103	Otu00104	Otu00106	Otu00107	Otu00108	Otu00109	Otu00110	Otu00112	Otu00113	Otu00115	Otu00116	Otu00117	Otu00119	Otu00120	Otu00122	Otu00123	Otu00124	Otu00125	Otu00126	Otu00127	Otu00128	Otu00129	Otu00130	Otu00132	Otu00133	Otu00134	Otu00135	Otu00138	Otu00139	Otu00140	Otu00142	Otu00143	Otu00144	Otu00145	Otu00146	Otu00147	Otu00148	Otu00149	Otu00150	Otu00151	Otu00152	Otu00153	Otu00154	Otu00155	Otu00157	Otu00158	Otu00159	Otu00163	Otu00164	Otu00165	Otu00166	Otu00167	Otu00171	Otu00172	Otu00173	Otu00174	Otu00176	Otu00177	Otu00179	Otu00180	Otu00181	Otu00182	Otu00184	Otu00185	Otu00186	Otu00187	Otu00188	Otu00189	Otu00190	Otu00192	Otu00193	Otu00194	Otu00199	Otu00201	Otu00203	Otu00204	Otu00205	Otu00206	Otu00212	Otu00217	Otu00218	Otu00219	Otu00220	Otu00222	Otu00224	Otu00227	Otu00228	Otu00229	Otu00233	Otu00236	Otu00237	Otu00239	Otu00241	Otu00242	Otu00244	Otu00245	Otu00246	Otu00248	Otu00250	Otu00251	Otu00252	Otu00255	Otu00260	Otu00261	Otu00264	Otu00265	Otu00268	Otu00271	Otu00272	Otu00275	Otu00276	Otu00277	Otu00278	Otu00282	Otu00283	Otu00284	Otu00286	Otu00290	Otu00291	Otu00297	Otu00298	Otu00299	Otu00300	Otu00309	Otu00310	Otu00311	Otu00312	Otu00313	Otu00314	Otu00315	Otu00321	Otu00322	Otu00323	Otu00326	Otu00333	Otu00335	Otu00339	Otu00342	Otu00344	Otu00346	Otu00349	Otu00355	Otu00357	Otu00361	Otu00373	Otu00375	Otu00377	Otu00384	Otu00385	Otu00386	Otu00387	Otu00393	Otu00395	Otu00397	Otu00402	Otu00406	Otu00412	Otu00414	Otu00417	Otu00421	Otu00431	Otu00433	Otu00435	Otu00438	Otu00439	Otu00444	Otu00447	Otu00464	Otu00472	Otu00490	Otu00502	Otu00505	Otu00507	Otu00510	Otu00512	Otu00514	Otu00515	Otu00521	Otu00539	Otu00541	Otu00545	Otu00563	Otu00576	Otu00601	Otu00636	Otu00639	Otu00684	Otu00710	Otu00788	Otu00842	Otu01107	Otu01113	Otu01150	Otu01330	Otu02109	Otu03675	rareOTUs
021-1D-6	0	13.584508	0.228874	0.735771	3.005301	93	46	46	130	152	290	132	41	6	51	1	6	154	17	5	43	62	20	36	69	47	14	42	1	0	0	3	0	2	0	0	0	1	0	1	0	0	2	11	0	0	5	5	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	17	0	2
021-2D-6	0	12.669229	0.186493	0.704102	2.970891	76	33	32	146	161	266	193	57	11	12	0	9	129	11	2	35	46	17	21	143	37	22	21	0	0	1	4	0	1	0	0	0	5	5	4	0	0	7	11	0	0	4	0	0	0	0	0	1	2	0	2	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	4	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	9	0	3
021-3D-6	0	14.503479	0.195316	0.727497	3.134161	85	28	33	141	160	273	148	45	18	38	0	8	122	8	3	37	36	41	22	120	37	6	21	5	0	6	8	0	2	0	0	0	9	10	2	1	0	3	0	0	0	5	7	0	0	0	0	1	0	2	14	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	5	0	0	1	0	11	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	9	0	5
021-4D-6	0	19.850373	0.186528	0.756492	3.531079	70	23	18	88	141	197	160	28	11	29	0	5	95	5	6	31	18	26	16	123	29	2	21	5	0	8	24	0	6	0	1	0	11	18	6	1	3	10	19	0	0	16	0	0	0	0	0	1	3	0	9	0	5	2	0	0	0	0	0	5	0	0	0	1	0	0	2	1	0	0	1	6	3	0	0	1	0	0	0	1	8	0	0	4	0	8	0	2	0	1	0	5	0	0	51	0	0	0	0	0	0	0	0	0	3	0	0	0	5	5	0	0	3	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	27	2	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	74	0	0	2	0	0	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	10
024-1D-6	0	12.867406	0.235526	0.72566	2.904098	132	40	57	56	233	202	183	14	1	53	0	6	181	41	6	18	1	10	41	44	67	17	23	1	0	1	3	1	3	0	0	0	1	14	0	0	0	2	19	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7
024-3D-6	0	11.233769	0.109652	0.671709	3.110031	55	3	26	68	314	124	302	32	0	4	5	10	78	84	3	3	1	28	13	94	57	3	29	11	9	5	1	0	3	0	7	25	10	44	1	0	1	3	17	11	0	8	1	2	6	2	0	3	3	4	1	0	3	0	0	1	0	0	0	1	0	2	0	6	0	0	3	4	0	0	0	2	0	4	0	2	0	0	0	0	3	3	0	0	0	4	1	2	3	0	0	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	6	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	13	0	5
050-1D-6	0	11.801305	0.171073	0.7028	2.976081	83	6	44	115	227	143	338	67	2	69	2	41	21	35	36	16	0	66	14	84	44	3	32	12	0	8	2	0	2	0	0	1	1	12	8	5	0	0	2	0	0	8	0	0	0	0	0	2	1	4	0	0	5	1	0	2	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	5	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	1
050-2D-6	0	8.402298	0.185696	0.66614	2.540265	114	14	53	114	177	291	383	130	0	12	4	54	6	59	15	6	1	49	36	19	33	1	7	1	0	3	0	0	0	0	0	0	0	9	1	2	1	1	0	0	0	1	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1
050-3D-6	0	10.125503	0.166695	0.67486	2.77203	168	23	52	124	179	92	394	50	4	7	5	26	51	60	10	11	0	134	15	10	51	0	58	0	0	1	1	8	8	0	0	0	1	5	0	0	1	0	11	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	1	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	2	1	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
050-4D-6	0	14.710316	0.185369	0.708897	3.101188	142	15	69	120	203	171	186	72	5	53	2	20	29	18	23	17	0	81	16	81	78	3	70	1	8	3	1	1	1	0	0	2	2	4	2	5	4	2	2	7	0	2	0	2	4	5	0	3	0	4	0	0	1	1	0	0	0	7	0	2	0	2	0	0	0	0	0	4	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	1	1	1	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	9
