otu,phyl,order,graphOrder,family,last,n,corr,pval,abund
Otu00044,Bacteroidetes,Bacteroidales,1,Bacteroidaceae,Bacteroides,2,0.335245079,0.002884403,0.00262
Otu00005,Bacteroidetes,Bacteroidales,1,Bacteroidaceae,Bacteroides,2,-0.556589913,2.67E-08,0.11316
Otu00008,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.359565052,0.00116832,0.03664
Otu00009,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.502303399,1.14E-06,0.00168
Otu00019,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.513193468,5.81E-07,0.01304
Otu00012,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.551725321,3.77E-08,0.00715
Otu00018,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.560682965,2.10E-08,0.01642
Otu00081,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.618341821,1.66E-10,0.00177
Otu00004,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.620489097,1.43E-10,0.0452
Otu00001,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.627306062,8.32E-11,0.03901
Otu00002,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.631261083,6.56E-11,0.00891
Otu00013,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.725238142,7.59E-16,0.03643
Otu00006,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.761316441,2.86E-18,0.07296
Otu00015,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.762147998,2.86E-18,0.00464
Otu00007,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.772470618,7.51E-19,0.08494
Otu00003,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.802524508,5.09E-21,0.01595
Otu00020,Bacteroidetes,Bacteroidales,3,Rikenellaceae,Alistipes,1,-0.781421639,2.03E-19,0.02664
Otu00016,Bacteroidetes,Bacteroidetes*,4,*Bacteroidetes,Bacteroidetes,1,-0.628440275,8.03E-11,0.01216
Otu00032,Firmicutes,Clostridiales,5,Lachnospiraceae,Lachnospiraceae,8,-0.317989929,0.005060836,0.00116
Otu00036,Firmicutes,Clostridiales,5,Lachnospiraceae,Lachnospiraceae,8,-0.381870959,0.000490689,0.00114
Otu00095,Firmicutes,Clostridiales,5,Lachnospiraceae,Lachnospiraceae,8,-0.432224947,4.80E-05,0.00109
Otu00076,Firmicutes,Clostridiales,5,Lachnospiraceae,Lachnospiraceae,8,-0.466757548,7.93E-06,0.00147
Otu00042,Firmicutes,Clostridiales,5,Lachnospiraceae,Lachnospiraceae,8,-0.546220653,5.57E-08,0.00163
Otu00026,Firmicutes,Clostridiales,5,Lachnospiraceae,Lachnospiraceae,8,-0.576027982,6.44E-09,0.00149
