otu,phyl,last,name,order,n,avgs,cor,pval
Otu00039,Firmicutes,Lachnospiraceae,Lachnospiraceae,01Lachnospiraceae,18,-0.399534102,-0.769191882,3.17E-19
Otu00027,Firmicutes,Lachnospiraceae,Lachnospiraceae,01Lachnospiraceae,18,-0.399534102,-0.624512032,3.38E-11
Otu00026,Firmicutes,Lachnospiraceae,Lachnospiraceae,01Lachnospiraceae,18,-0.399534102,-0.576027982,2.19E-09
Otu00042,Firmicutes,Lachnospiraceae,Lachnospiraceae,01Lachnospiraceae,18,-0.399534102,-0.546220653,1.85E-08
Otu00125,Firmicutes,Lachnospiraceae,Lachnospiraceae,01Lachnospiraceae,18,-0.399534102,-0.487960229,8.63E-07
Otu00076,Firmicutes,Lachnospiraceae,Lachnospiraceae,01Lachnospiraceae,18,-0.399534102,-0.466757548,2.62E-06
Otu00095,Firmicutes,Lachnospiraceae,Lachnospiraceae,01Lachnospiraceae,18,-0.399534102,-0.432224947,1.68E-05
Otu00053,Firmicutes,Lachnospiraceae,Lachnospiraceae,01Lachnospiraceae,18,-0.399534102,-0.427390728,2.12E-05
Otu00080,Firmicutes,Lachnospiraceae,Lachnospiraceae,01Lachnospiraceae,18,-0.399534102,-0.395263646,9.95E-05
Otu00051,Firmicutes,Lachnospiraceae,Lachnospiraceae,01Lachnospiraceae,18,-0.399534102,-0.384664821,1.57E-04
Otu00036,Firmicutes,Lachnospiraceae,Lachnospiraceae,01Lachnospiraceae,18,-0.399534102,-0.381870959,1.75E-04
Otu00113,Firmicutes,Lachnospiraceae,Lachnospiraceae,01Lachnospiraceae,18,-0.399534102,-0.370222687,2.88E-04
Otu00072,Firmicutes,Lachnospiraceae,Lachnospiraceae,01Lachnospiraceae,18,-0.399534102,-0.345038272,7.89E-04
Otu00073,Firmicutes,Lachnospiraceae,Lachnospiraceae,01Lachnospiraceae,18,-0.399534102,-0.33318113,1.20E-03
Otu00032,Firmicutes,Lachnospiraceae,Lachnospiraceae,01Lachnospiraceae,18,-0.399534102,-0.317989929,2.05E-03
Otu00047,Firmicutes,Lachnospiraceae,Lachnospiraceae,01Lachnospiraceae,18,-0.399534102,-0.284332508,6.04E-03
Otu00276,Firmicutes,Lachnospiraceae,Lachnospiraceae,01Lachnospiraceae,18,-0.399534102,-0.270227112,9.21E-03
Otu00174,Firmicutes,Lachnospiraceae,Lachnospiraceae,01Lachnospiraceae,18,-0.399534102,0.221463232,3.41E-02
Otu00086,Firmicutes,Ruminococcus,Ruminococcaceae,02Ruminococcaceae,9,-0.46574342,-0.584611459,1.17E-09
Otu00038,Firmicutes,Ruminococcaceae,Ruminococcaceae,02Ruminococcaceae,9,-0.46574342,-0.558187693,8.22E-09
