otu,phyla,name
Otu001,Bacteroidetes,Porphyromonadaceae
Otu003,Bacteroidetes,Bacteroidaceae
Otu014,Bacteroidetes,Rikinellaceae
Otu005,Firmicutes,Lactobacillaceae
Otu011,Firmicutes,Erysipelotrichaceae
Otu006,Verrucomicrobia,Verrucomicrobiaceae
Otu002,Firmicutes,Lachnospiraceae
Otu004,Firmicutes,Ruminococcaceae
Otu016,Actinobacteria,Bifidobacteriaceae
Otu009,Bacteroidetes,*Bacteroidetes
Otu007,Proteobacteria,Enterobacteriaceae
Otu024,Proteobacteria,Pseudomonadaceae
Otu019,Firmicutes,Clostridiaceae
Otu018,Firmicutes,Staphylococcaceae
Otu021,Firmicutes,Streptococcaceae
Otu008,Firmicutes,*Clostridiales
Otu015,Actinobacteria,Coriobacteriaceae
Otu027,Firmicutes,*Clostridia
Otu013,Firmicutes,*Firmicutes
