Group,expgroup,nextDayCFU,Otu001,Otu003,Otu014,Otu005,Otu011,Otu006,Otu002,Otu004,Otu016,Otu009,Otu007,Otu024,Otu019,Otu018,Otu021,Otu008,Otu015,Otu027,Otu013,Other
021-1D-6,1untr,0,0.624385,0.115462,0.047154,0.039769,0.036077,0.035462,0.016385,0.024385,0.007154,0.024385,0.001,0.001,0.001,0.001,0.001,0.008385,0.004077,0.009,0.002231,0.020689
021-2D-6,1untr,0,0.647154,0.085308,0.073615,0.043462,0.026231,0.013923,0.022538,0.020077,0.010846,0.025,0.001,0.001,0.001,0.001,0.001615,0.011462,0.005923,0.011462,0.007154,1.02E-02
021-3D-6,1untr,0,0.628077,0.087154,0.065,0.041615,0.025615,0.034846,0.025615,0.033615,0.005923,0.021923,0.001,0.001,0.001,0.001,0.001,0.006538,0.005308,0.017615,0.006538,9.62E-03
021-4D-6,1untr,0,0.469923,0.070538,0.073,0.034231,0.018846,0.025,0.125308,0.057,0.002231,0.020692,0.001,0.001,0.001,0.001,0.001,0.026231,0.005308,0.039154,0.024385,0.023153
024-1D-6,1untr,0,0.586231,0.132077,0.031769,0.082846,0.001615,0.039769,0.015154,0.065615,0.017615,0.009615,0.002231,0.001,0.001,0.001615,0.001,0.003462,0.004692,0.006538,0.012077,0.004079
024-3D-6,1untr,0,0.463769,0.193,0.061923,0.114231,0.001,0.003462,0.048385,0.025,0.003462,0.006538,0.004692,0.002231,0.004692,0.009615,0.001615,0.008385,0.003462,0.007769,0.025615,0.031154
050-1D-6,1untr,0,0.581308,0.143154,0.055769,0.073,0.001,0.037923,0.037308,0.021308,0.004077,0.009615,0.003462,0.001615,0.001,0.001,0.001,0.005923,0.009615,0.002231,0.007154,0.022538
050-2D-6,1untr,0,0.764077,0.110538,0.020077,0.060692,0.002846,0.009615,0.010231,0.008385,0.001,0.008385,0.001615,0.001,0.001,0.001,0.001,0.001,0.002846,0.001,0.005923,0.00777
050-3D-6,1untr,0,0.721,0.110538,0.002846,0.108692,0.001,0.007769,0.037923,0.003462,0.001,0.005923,0.002231,0.001,0.001,0.001,0.001,0.002846,0.002846,0.001,0.003462,0.003462
050-4D-6,1untr,0,0.581308,0.124692,0.039154,0.118538,0.001,0.034231,0.020692,0.020077,0.002846,0.006538,0.004077,0.001615,0.007769,0.005308,0.002231,0.001,0.005308,0.001615,0.006538,0.035463
600-1D-6,1untr,0,0.665,0.111769,0.042846,0.058846,0.001,0.001,0.100692,0.007154,0.001,0.002231,0.005308,0.001,0.001,0.001,0.001,0.003462,0.002231,0.001,0.001615,0.010846
600-3D-6,1untr,0,0.695769,0.103154,0.049615,0.088385,0.001,0.001,0.046538,0.005308,0.001,0.006538,0.004077,0.001,0.001,0.001,0.001,0.001615,0.005923,0.001,0.001615,0.003463
600-4D-6,1untr,0,0.223769,0.522231,0.025,0.087769,0.001,0.001615,0.094538,0.015769,0.001,0.002231,0.013308,0.001615,0.001,0.001615,0.001,0.004077,0.001,0.001,0.004692,0.015771
007-1D-6,1untr,0,0.413308,0.143154,0.039769,0.171462,0.001615,0.045923,0.054538,0.029923,0.017615,0.009615,0.005923,0.001615,0.002231,0.004077,0.001615,0.031769,0.008385,0.005923,0.009,0.02254
007-2D-6,1untr,0,0.350538,0.119154,0.093308,0.047154,0.015769,0.053308,0.137615,0.058846,0.010846,0.004692,0.001,0.001,0.001,0.001,0.001,0.018846,0.017,0.036692,0.014538,0.036694
007-357D-6,1untr,0,0.607154,0.059462,0.060077,0.031154,0.007769,0.033,0.039769,0.048385,0.004077,0.004692,0.026846,0.004692,0.001,0.001,0.001,0.009615,0.004077,0.029308,0.006538,0.040385
007-358D-6,1untr,0,0.584385,0.102538,0.049615,0.089615,0.001,0.009615,0.065615,0.026846,0.002846,0.003462,0.008385,0.002846,0.001,0.002231,0.001,0.017,0.001615,0.003462,0.007154,0.03977
039-1D-6,1untr,0,0.483462,0.097615,0.023769,0.070538,0.166538,0.043462,0.023154,0.029923,0.036077,0.005308,0.001,0.001,0.001,0.001615,0.001,0.004692,0.005923,0.001615,0.013308,0.009001
039-3D-6,1untr,0,0.567154,0.097615,0.045308,0.057615,0.109308,0.023769,0.009615,0.003462,0.062538,0.016385,0.004077,0.001615,0.001,0.001615,0.001,0.001615,0.004692,0.002846,0.005308,0.003463
040-1D-6,1untr,0,0.523462,0.130846,0.055769,0.036692,0.028692,0.007154,0.076692,0.044077,0.012692,0.005308,0.001615,0.001,0.001,0.001,0.001,0.009615,0.003462,0.012692,0.035462,0.03177
040-2D-6,1untr,0,0.484077,0.160385,0.039769,0.129615,0.020077,0.010231,0.064385,0.024385,0.013923,0.005923,0.001,0.001,0.001,0.001,0.001,0.007154,0.008385,0.006538,0.008385,0.031768
040-3D-6,1untr,0,0.549308,0.178846,0.025615,0.093923,0.001615,0.029923,0.035462,0.045308,0.009615,0.003462,0.001615,0.001,0.001,0.001,0.001,0.002846,0.002231,0.001615,0.025615,0.009001
040-4D-6,1untr,0,0.399154,0.145615,0.031769,0.145615,0.049615,0.037308,0.040385,0.052692,0.021923,0.008385,0.004692,0.001615,0.007769,0.007154,0.004077,0.005923,0.004692,0.015154,0.010231,0.026232
103-1-D-6,1untr,0,0.725308,0.013923,0.004077,0.129615,0.003462,0.042231,0.042846,0.004077,0.001,0.009615,0.004077,0.002846,0.001,0.001615,0.002231,0.011462,0.013923,0.001,0.002231,0.003461
103-2-D-6,1untr,0,0.815154,0.022538,0.004077,0.114846,0.002846,0.010846,0.013308,0.002846,0.004077,0.011462,0.002846,0.001615,0.001,0.001,0.001,0.002231,0.002231,0.001615,0.001615,0.002847
103-3-D-6,1untr,0,0.627462,0.129,0.069923,0.028077,0.001615,0.007769,0.097615,0.008385,0.001,0.008385,0.004692,0.001,0.001615,0.001615,0.001,0.007154,0.009615,0.002231,0.004692,0.007155
047-1D-6,1untr,0,0.732692,0.082231,0.028692,0.036692,0.001,0.015154,0.035462,0.033615,0.005308,0.014538,0.001,0.001,0.001,0.001,0.001,0.004077,0.006538,0.002846,0.007769,0.008386
047-2D-6,1untr,0,0.636077,0.116077,0.065,0.025615,0.048385,0.034846,0.010231,0.009615,0.033615,0.015769,0.001,0.001,0.001615,0.001,0.001,0.003462,0.004692,0.007154,0.002846,1.00E-03
047-3D-6,1untr,0,0.445923,0.117923,0.066231,0.047154,0.065,0.046538,0.079769,0.037308,0.014538,0.012692,0.001,0.001,0.001,0.001,0.001,0.024385,0.007769,0.018231,0.026846,0.004693
627-1D-6,1untr,0,0.455769,0.044077,0.105,0.125923,0.001,0.010231,0.146231,0.015769,0.001,0.004077,0.001,0.001615,0.001615,0.004692,0.001615,0.010846,0.005923,0.012077,0.016385,0.055155
627-2D-6,1untr,0,0.525923,0.026231,0.070538,0.143154,0.001615,0.004692,0.141923,0.011462,0.002846,0.002846,0.001615,0.001,0.001,0.001615,0.001615,0.008385,0.005923,0.005923,0.026846,0.034848
627-3D-6,1untr,0,0.269923,0.415769,0.065615,0.090846,0.001,0.017615,0.036692,0.009,0.001,0.004692,0.013308,0.004692,0.001615,0.001615,0.001,0.012077,0.001,0.005308,0.017,0.050233
