sample	CFU	group	mouse	day	abx	dose	time	Cdiff	preABX	recovDays
021-1D-1	NA	21	1	-1	amp	0.5	on-time	630dE	other	no
021-1D-6	0	21	1	-6	amp	0.5	on-time	630dE	preAbx	no
021-1D0	NA	21	1	0	amp	0.5	on-time	630dE	other	no
021-1D1	70000	21	1	1	amp	0.5	on-time	630dE	other	no
021-1D10	10500000	21	1	10	amp	0.5	on-time	630dE	other	no
021-1D2	27200000	21	1	2	amp	0.5	on-time	630dE	other	no
021-1D3	159000000	21	1	3	amp	0.5	on-time	630dE	other	no
021-1D4	250000000	21	1	4	amp	0.5	on-time	630dE	other	no
021-1D5	56000000	21	1	5	amp	0.5	on-time	630dE	other	no
021-1D6	40000000	21	1	6	amp	0.5	on-time	630dE	other	no
021-1D7	33000000	21	1	7	amp	0.5	on-time	630dE	other	no
021-1D8	35000000	21	1	8	amp	0.5	on-time	630dE	other	no
021-1D9	33000000	21	1	9	amp	0.5	on-time	630dE	other	no
021-2D-6	0	21	2	-6	amp	0.5	on-time	630dE	preAbx	no
021-2D1	35000	21	2	1	amp	0.5	on-time	630dE	other	no
021-2D10	10300000	21	2	10	amp	0.5	on-time	630dE	other	no
021-2D2	34400000	21	2	2	amp	0.5	on-time	630dE	other	no
021-2D3	205000000	21	2	3	amp	0.5	on-time	630dE	other	no
021-2D4	170000000	21	2	4	amp	0.5	on-time	630dE	other	no
021-2D5	62000000	21	2	5	amp	0.5	on-time	630dE	other	no
021-2D6	6300000	21	2	6	amp	0.5	on-time	630dE	other	no
021-2D7	8100000	21	2	7	amp	0.5	on-time	630dE	other	no
021-2D8	11500000	21	2	8	amp	0.5	on-time	630dE	other	no
021-2D9	25000000	21	2	9	amp	0.5	on-time	630dE	other	no
021-3D-1	NA	21	3	-1	amp	0.5	on-time	630dE	other	no
021-3D-1	114000	21	3	1	amp	0.5	on-time	630dE	other	no
021-3D-6	0	21	3	-6	amp	0.5	on-time	630dE	preAbx	no
021-3D10	5000000	21	3	10	amp	0.5	on-time	630dE	other	no
021-3D2	31200000	21	3	2	amp	0.5	on-time	630dE	other	no
021-3D3	172000000	21	3	3	amp	0.5	on-time	630dE	other	no
021-3D4	270000000	21	3	4	amp	0.5	on-time	630dE	other	no
021-3D5	12000000	21	3	5	amp	0.5	on-time	630dE	other	no
021-3D6	40000000	21	3	6	amp	0.5	on-time	630dE	other	no
021-3D7	39000000	21	3	7	amp	0.5	on-time	630dE	other	no
021-3D8	46000000	21	3	8	amp	0.5	on-time	630dE	other	no
021-3D9	11900000	21	3	9	amp	0.5	on-time	630dE	other	no
021-4D-1	NA	21	4	-1	amp	0.5	on-time	630dE	other	no
021-4D-6	0	21	4	-6	amp	0.5	on-time	630dE	preAbx	no
021-4D0	NA	21	4	0	amp	0.5	on-time	630dE	other	no
021-4D1	2700	21	4	1	amp	0.5	on-time	630dE	other	no
021-4D10	9000000	21	4	10	amp	0.5	on-time	630dE	other	no
021-4D2	37600000	21	4	2	amp	0.5	on-time	630dE	other	no
021-4D3	177000000	21	4	3	amp	0.5	on-time	630dE	other	no
021-4D4	138000000	21	4	4	amp	0.5	on-time	630dE	other	no
