otus,phyla,name,otuname
Otu00015,Bacteroidetes,Porphyromonadaceae,OTU15
Otu00007,Bacteroidetes,Porphyromonadaceae,OTU7
Otu00001,Bacteroidetes,Porphyromonadaceae,OTU1
Otu00004,Bacteroidetes,Porphyromonadaceae,OTU4
Otu00078,Firmicutes,Streptococcus,OTU78
Otu00008,Bacteroidetes,Porphyromonadaceae,OTU8
Otu00010,Verrucomicrobia,Akkermansia,OTU10
Otu00011,Proteobacteria,Escherichia,OTU11
Otu00006,Bacteroidetes,Porphyromonadaceae,OTU6
Otu00020,Bacteroidetes,Alistipes,OTU20
Otu00017,Firmicutes,Turicibacter,OTU17
Otu00013,Bacteroidetes,Porphyromonadaceae,OTU13
Otu00023,Firmicutes,Lactobacillus,OTU23
Otu00039,Firmicutes,Lachnospiraceae,OTU39
Otu00003,Bacteroidetes,Porphyromonadaceae,OTU3
