Group,expgroup,nextDayCFU,Otu001,Otu005,Otu003,Otu002,Otu006,Otu014,Otu004,Otu007,Otu008,Otu019,Otu018,Otu017,Other
007-1D-6,1untrVanc,0,0.412408,0.170562,0.142254,0.053638,0.045023,0.038869,0.029023,0.005023,0.030869,0.001331,0.003177,0.002562,0.066561
007-2D-6,1untrVanc,0,0.349638,0.046254,0.118254,0.136715,0.052408,0.092408,0.057946,0.0001,0.017946,0.0001,0.0001,0.001946,0.127485
007-357D-6,1untrVanc,0,0.606254,0.030254,0.058562,0.038869,0.0321,0.059177,0.047485,0.025946,0.008715,0.0001,0.0001,0.011792,0.081946
007-358D-6,1untrVanc,0,0.583485,0.088715,0.101638,0.064715,0.008715,0.048715,0.025946,0.007485,0.0161,0.0001,0.001331,0.0001,0.054255
039-1D-6,1untrVanc,0,0.482562,0.069638,0.096715,0.022254,0.042562,0.022869,0.029023,0.0001,0.003792,0.0001,0.000715,0.0001,0.23087
039-3D-6,1untrVanc,0,0.566254,0.056715,0.096715,0.008715,0.022869,0.044408,0.002562,0.003177,0.000715,0.0001,0.000715,0.000715,0.19764
007-2D1,2vanc.625,99000000,0.001331,0.155792,0.001331,0.000715,0.558254,0.0001,0.0001,0.173023,0.105331,0.0001,0.0001,0.0001,0.005023
007-357D1,2vanc.625,25000000,0.000715,0.109638,0.000715,0.0001,0.694254,0.0001,0.0001,0.143485,0.047485,0.0001,0.0001,0.0001,0.004408
007-358D1,2vanc.625,74000000,0.014254,0.077638,0.021638,0.001331,0.438869,0.0001,0.000715,0.115792,0.041946,0.057946,0.036408,0.0001,0.194563
0071D1,2vanc.625,83000000,0.0001,0.1281,0.0001,0.0001,0.674562,0.0001,0.0001,0.125023,0.071485,0.0001,0.0001,0.0001,0.00133
086-1-D-6,1untrVanc,0,0.631485,0.046254,0.070869,0.0481,0.022254,0.072715,0.016715,0.006254,0.003792,0.001331,0.0001,0.003792,0.077639
086-2-D-6,1untrVanc,0,0.649946,0.073331,0.102869,0.024715,0.015485,0.046869,0.006869,0.014869,0.001946,0.000715,0.001946,0.001946,0.059794
086-3-D-6,1untrVanc,0,0.655485,0.057946,0.114562,0.011792,0.017331,0.067792,0.010562,0.006254,0.0001,0.0001,0.000715,0.005638,0.053023
086-4-D-6,1untrVanc,0,0.638869,0.023485,0.097946,0.030254,0.0161,0.107177,0.016715,0.005638,0.006869,0.0001,0.001331,0.006254,0.050562
086-5-D-6,1untrVanc,0,0.643177,0.034562,0.126869,0.033331,0.017946,0.043177,0.009946,0.004408,0.003792,0.0001,0.0001,0.008715,0.075177
740-1D-6,1untrVanc,0,0.455485,0.099792,0.070869,0.011177,0.118254,0.006254,0.016715,0.000715,0.018562,0.0001,0.0001,0.000715,0.202562
740-2D-6,1untrVanc,0,0.492408,0.085638,0.081946,0.006869,0.122562,0.017331,0.011177,0.0001,0.005023,0.0001,0.000715,0.000715,0.176716
740-3D-6,1untrVanc,0,0.554562,0.046254,0.091177,0.016715,0.029023,0.025331,0.013023,0.000715,0.012408,0.0001,0.0001,0.001946,0.209946
086-1-D0,3vanc.3,1110000,0.029023,0.086254,0.010562,0.007485,0.468408,0.004408,0.001946,0.269023,0.081331,0.001331,0.0001,0.005023,0.036406
086-2-D0,3vanc.3,22700000,0.014254,0.083792,0.009946,0.004408,0.453638,0.001946,0.0001,0.2561,0.140408,0.0001,0.0001,0.000715,0.035793
086-3-D0,3vanc.3,16900000,0.0161,0.087485,0.005638,0.000715,0.4161,0.002562,0.001331,0.273331,0.151485,0.0001,0.0001,0.013023,0.03333
086-4-D0,3vanc.3,16400000,0.0161,0.121946,0.005638,0.004408,0.509638,0.003177,0.001331,0.274562,0.033331,0.000715,0.0001,0.000715,0.029639
086-5-D0,3vanc.3,22500000,0.016715,0.102869,0.003792,0.002562,0.292408,0.001946,0.001331,0.312715,0.164408,0.000715,0.0001,0.084408,0.017331
087-1-D-6,1untrVanc,0,0.607485,0.015485,0.102254,0.027177,0.0161,0.066562,0.014254,0.001946,0.000715,0.0001,0.0001,0.001946,0.147176
087-2-D-6,1untrVanc,0,0.491177,0.069023,0.122562,0.008715,0.025331,0.035177,0.021638,0.000715,0.001946,0.0001,0.0001,0.001331,0.223485
087-3-D-6,1untrVanc,0,0.604408,0.035792,0.0641,0.033946,0.038869,0.023485,0.043177,0.002562,0.003792,0.001331,0.000715,0.0001,0.149023
087-4-D-6,1untrVanc,0,0.618562,0.017946,0.090562,0.076408,0.037023,0.041946,0.025331,0.003792,0.003177,0.000715,0.0001,0.0001,0.085638
096-1-D-6,1untrVanc,0,0.662254,0.114562,0.091792,0.019177,0.002562,0.037023,0.008715,0.000715,0.003177,0.0001,0.0001,0.000715,0.060408
096-2-D-6,1untrVanc,0,0.650562,0.033946,0.146562,0.038254,0.003792,0.057946,0.016715,0.0001,0.005023,0.0001,0.0001,0.005638,0.042562
741-1D-6,1untrVanc,0,0.522562,0.019792,0.104715,0.105946,0.029023,0.017946,0.020408,0.000715,0.005023,0.001946,0.005023,0.001946,0.166255
741-2D-6,1untrVanc,0,0.465946,0.028408,0.097331,0.1521,0.0641,0.021023,0.054869,0.000715,0.009331,0.0001,0.0001,0.002562,0.104715
741-3D-6,1untrVanc,0,0.516408,0.036408,0.091792,0.125638,0.075177,0.012408,0.052408,0.001946,0.012408,0.0001,0.0001,0.0001,0.076407
087-1-D0,4vanc.1,13600000,0.2721,0.041331,0.299177,0.047485,0.105946,0.0241,0.003792,0.085023,0.016715,0.0001,0.0001,0.070254,0.035177
087-2-D0,4vanc.1,19100000,0.253638,0.043792,0.293638,0.029638,0.098562,0.022869,0.025946,0.079485,0.015485,0.003792,0.001946,0.013638,0.118871
087-3-D0,4vanc.1,14000000,0.320715,0.063485,0.297331,0.008715,0.115177,0.0001,0.0001,0.069023,0.037023,0.0001,0.0001,0.054869,0.034562
087-4-D0,4vanc.1,19600000,0.3281,0.032715,0.2961,0.019792,0.145331,0.007485,0.001946,0.107177,0.024715,0.0001,0.0001,0.017946,1.98E-02
096-1-D0,4vanc.1,13200000,0.1121,0.090562,0.498562,0.005638,0.095485,0.0001,0.000715,0.115177,0.038869,0.0001,0.0001,0.036408,0.007484
096-2-D0,4vanc.1,26400000,0.083177,0.078869,0.606254,0.0001,0.046254,0.0001,0.000715,0.109638,0.043792,0.0001,0.001331,0.022254,0.008716
741-1D0,4vanc.1,11000000,0.286254,0.024715,0.374869,0.025331,0.145331,0.008715,0.002562,0.093023,0.007485,0.0001,0.0001,0.013023,0.019792
741-2D0,4vanc.1,20500000,0.307792,0.012408,0.346562,0.059792,0.121331,0.0001,0.006254,0.109638,0.013638,0.0001,0.0001,0.011177,0.012408
741-3D0,4vanc.1,13900000,0.389023,0.022869,0.282562,0.017331,0.109023,0.0001,0.001946,0.099177,0.0321,0.0001,0.0001,0.019792,0.027177
039-1D1,2vanc.625,115000000,0.021638,0.029638,0.097946,0.000715,0.421023,0.0001,0.001331,0.4081,0.013638,0.0001,0.0001,0.0001,6.87E-03
039-3D1,2vanc.625,160000000,0.002562,0.011177,0.000715,0.0001,0.437023,0.0001,0.0001,0.518254,0.019792,0.000715,0.0001,0.0001,0.010562
740-1D0,3vanc.3,24400000,0.005023,0.066562,0.000715,0.0001,0.507792,0.0001,0.0001,0.385946,0.0321,0.0001,0.0001,0.0001,0.002562
740-2D0,3vanc.3,24000000,0.002562,0.117638,0.000715,0.0001,0.628408,0.0001,0.0001,0.2401,0.008715,0.0001,0.0001,0.0001,0.002562
740-3D0,3vanc.3,26400000,0.000715,0.025946,0.000715,0.000715,0.619177,0.0001,0.0001,0.344715,0.007485,0.0001,0.0001,0.0001,0.001332
