otu,phyla,name
Otu001,Bacteroidetes,Porphyromonadaceae
Otu003,Bacteroidetes,Bacteroides
Otu005,Firmicutes,Lactobacillus
Otu004,Firmicutes,Ruminococcaceae
Otu006,Verrucomicrobia,Akkermansia
Otu014,Bacteroidetes,Alistipes
Otu002,Firmicutes,Lachnospiraceae
Otu009,Bacteroidetes,Bacteroidetes
Otu016,Actinobacteria,Bifidobacterium
Otu011,Firmicutes,Erysipelotrichaceae
Otu007,Proteobacteria,Enterobacteriaceae
Otu019,Firmicutes,Clostridium_sensu_stricto
Otu018,Firmicutes,Staphylococcus
Otu024,Proteobacteria,Pseudomonas
Otu008,Firmicutes,Clostridiales
