Group,expgroup,nextDayCFU,Otu001,Otu003,Otu005,Otu002,Otu004,Otu014,Otu006,Otu007,Otu009,Otu015,Otu017,Other
047-1D-6,1untrStrep,0,0.732692,0.082231,0.036692,0.035462,0.033615,0.028692,0.015154,0.001,0.014538,0.006538,0.001615,0.023771
047-2D-6,1untrStrep,0,0.636077,0.116077,0.025615,0.010231,0.009615,0.065,0.034846,0.001,0.015769,0.004692,0.001,0.092078
047-3D-6,1untrStrep,0,0.445923,0.117923,0.047154,0.079769,0.037308,0.066231,0.046538,0.001,0.012692,0.007769,0.001615,0.148078
627-1D-6,1untrStrep,0,0.455769,0.044077,0.125923,0.146231,0.015769,0.105,0.010231,0.001,0.004077,0.005923,0.001,0.097
627-2D-6,1untrStrep,0,0.525923,0.026231,0.143154,0.141923,0.011462,0.070538,0.004692,0.001615,0.002846,0.005923,0.001615,0.076078
627-3D-6,1untrStrep,0,0.269923,0.415769,0.090846,0.036692,0.009,0.065615,0.017615,0.013308,0.004692,0.001,0.002231,0.085309
627-4D-6,1untrStrep,0,0.409615,0.171462,0.137,0.044692,0.010846,0.164077,0.004692,0.001615,0.004692,0.005308,0.001615,0.056386
627-5D-6,1untrStrep,0,0.367769,0.335154,0.057615,0.065,0.014538,0.090231,0.004692,0.027462,0.007154,0.001,0.006538,0.034847
048-1D-6,1untrStrep,0,0.530231,0.243462,0.069923,0.024385,0.017,0.039154,0.013923,0.001,0.005923,0.010231,0.001615,0.055153
048-2D-6,1untrStrep,0,0.450846,0.165308,0.058846,0.007769,0.009615,0.041,0.023769,0.007154,0.019462,0.009615,0.004692,0.213924
048-3D-6,1untrStrep,0,0.580692,0.187462,0.061308,0.009615,0.022538,0.031154,0.012077,0.001,0.004077,0.012692,0.002231,0.087154
048-4D-6,1untrStrep,0,0.761,0.086538,0.026846,0.002846,0.006538,0.012692,0.010231,0.004692,0.025,0.005308,0.002846,0.067463
089-2-D-6,1untrStrep,0,0.495154,0.082846,0.093308,0.037923,0.010231,0.141923,0.082846,0.002846,0.011462,0.017,0.003462,0.032999
089-3-D-6,1untrStrep,0,0.589308,0.180077,0.073615,0.005923,0.005308,0.038538,0.063769,0.002231,0.018846,0.005308,0.001615,0.027462
089-4-D-6,1untrStrep,0,0.763462,0.098846,0.042231,0.009,0.002846,0.007154,0.051462,0.002846,0.018231,0.004077,0.002846,0.008999
089-5-D-6,1untrStrep,0,0.575154,0.087154,0.131462,0.017,0.009,0.058231,0.079769,0.001615,0.010231,0.014538,0.008385,0.019461
046-1D-6,1untrStrep,0,0.462538,0.202231,0.039769,0.060077,0.052077,0.055769,0.028077,0.002231,0.003462,0.006538,0.008385,0.090846
046-2D-6,1untrStrep,0,0.359769,0.196077,0.076692,0.130231,0.071769,0.078538,0.015154,0.001,0.002846,0.005308,0.004077,0.070539
046-3D-6,1untrStrep,0,0.682846,0.073,0.097,0.034846,0.027462,0.004692,0.018846,0.002231,0.005308,0.010846,0.001,0.053923
088-3-D-6,1untrStrep,0,0.547462,0.102538,0.061923,0.036077,0.009615,0.097,0.033,0.005923,0.005923,0.007154,0.004692,0.100693
095-1-D-6,1untrStrep,0,0.559769,0.178231,0.079769,0.043462,0.021308,0.001615,0.020692,0.002846,0.011462,0.002231,0.001615,0.089
095-2-D-6,1untrStrep,0,0.533923,0.148692,0.025,0.085923,0.016385,0.079769,0.038538,0.002231,0.008385,0.001615,0.010846,0.060693
095-3-D-6,1untrStrep,0,0.505615,0.180077,0.052692,0.063769,0.035462,0.070538,0.007154,0.001,0.005308,0.001,0.009615,0.07977
047-1D0,2strep5,72000000,0.520385,0.001,0.002231,0.017615,0.019462,0.001,0.316077,0.001,0.122846,0.008385,0.001,9.99E-04
047-2D0,2strep5,73000000,0.497615,0.002231,0.001615,0.034231,0.042231,0.001,0.282231,0.001,0.131462,0.016385,0.001,9.99E-04
047-3D0,2strep5,27000000,0.556077,0.001,0.001,0.007154,0.028077,0.001,0.210231,0.001,0.180077,0.024385,0.001,9.99E-04
627-1D0,2strep5,3.40E+07,0.403462,0.583154,0.007769,0.001,0.002231,0.001,0.001,0.001615,0.001,0.005923,0.001,0.002846
627-2D0,2strep5,3.46E+07,0.529615,0.442846,0.025,0.001,0.001615,0.001615,0.001,0.001,0.001,0.004692,0.001,0.001617
627-3D0,2strep5,1.01E+08,0.287154,0.701923,0.005308,0.002846,0.005923,0.001,0.001,0.001,0.001,0.002846,0.001,0.001
627-4D0,2strep5,5.70E+07,0.359769,0.620077,0.017,0.001,0.004692,0.001,0.001,0.001615,0.001,0.002846,0.001,1.00E-03
627-5D0,2strep5,7.00E+07,0.463769,0.511769,0.015769,0.004077,0.001615,0.001,0.001615,0.002846,0.001,0.005308,0.001,0.002232
048-1D0,3strep.5,1250000,0.357923,0.341308,0.017615,0.013923,0.028692,0.001,0.181308,0.001,0.055154,0.007154,0.001,0.005923
048-2D0,3strep.5,3400000,0.301923,0.290231,0.009,0.049615,0.039154,0.001,0.264385,0.001,0.033,0.002846,0.001,0.018846
048-3D0,3strep.5,4040000,0.184385,0.529615,0.055154,0.020692,0.027462,0.002846,0.125923,0.002231,0.025615,0.002846,0.001,0.034231
048-4D0,3strep.5,5700000,0.317308,0.394846,0.006538,0.050231,0.093923,0.002231,0.106846,0.001,0.029923,0.002231,0.001,0.005923
089-1-D0,3strep.5,2600000,0.414538,0.197308,0.039154,0.012692,0.013308,0.001615,0.269308,0.002231,0.048385,0.007154,0.001,0.005307
089-2-D0,3strep.5,1770000,0.364077,0.311154,0.055769,0.004077,0.010846,0.001615,0.169,0.004077,0.073615,0.001615,0.001,0.015155
089-3-D0,3strep.5,4130000,0.350538,0.411462,0.004692,0.009615,0.018846,0.001,0.158538,0.001,0.046538,0.007154,0.001,0.001617
089-4-D0,3strep.5,1250000,0.353615,0.419462,0.020077,0.004692,0.034846,0.002231,0.122231,0.001,0.044692,0.005923,0.001,0.002231
089-5-D0,3strep.5,3500000,0.383769,0.455769,0.005923,0.002846,0.028077,0.001615,0.090231,0.001615,0.034231,0.005308,0.001,1.62E-03
046-1D0,4strep.1,100,0.460077,0.239154,0.008385,0.033,0.010231,0.010846,0.220692,0.001,0.012077,0.002846,0.008385,0.005307
046-2D0,4strep.1,100,0.485923,0.205923,0.038538,0.010846,0.009615,0.036692,0.153,0.001615,0.006538,0.005923,0.031769,0.025618
046-3D0,4strep.1,4100,0.522231,0.146846,0.016385,0.025615,0.014538,0.028077,0.191154,0.001,0.007769,0.001615,0.041,0.01577
088-1-D0,4strep.1,0,0.370846,0.036692,0.072385,0.019462,0.005308,0.017615,0.459462,0.005923,0.004077,0.003462,0.004692,0.012076
088-2-D0,4strep.1,0,0.524077,0.212692,0.034231,0.013308,0.013308,0.036077,0.135769,0.004692,0.005308,0.003462,0.018846,0.01023
088-3-D0,4strep.1,0,0.573923,0.145,0.025,0.004077,0.007769,0.017615,0.197308,0.005923,0.021308,0.001,0.002231,0.010846
088-4-D0,4strep.1,2000,0.594231,0.186231,0.013308,0.004692,0.010231,0.034846,0.127154,0.001,0.008385,0.002231,0.020692,0.008999
095-1-D0,4strep.1,0,0.496385,0.244077,0.002231,0.077923,0.037308,0.036077,0.082231,0.001615,0.007154,0.001,0.004077,0.021922
095-2-D0,4strep.1,0,0.565923,0.196692,0.003462,0.027462,0.024385,0.060692,0.090846,0.002231,0.012077,0.003462,0.011462,0.013306
095-3-D0,4strep.1,0,0.618231,0.246538,0.002231,0.029308,0.020077,0.023154,0.045923,0.002231,0.009615,0.002846,0.002231,0.009615
