Group,abx,expgroup,nextDayCFU,Otu001,Otu002,Otu003,Otu004,Otu005,Otu006,Otu007,Otu008,Otu009,Otu010,Otu011,Otu012,Otu013,Otu014,Otu015,Otu016,Otu017,Otu018,Otu019,Otu020,Otu021,Otu022,Otu023,Otu024,Otu025,Otu026,Otu027,Otu028,Otu029,Otu030,Otu031,Otu032,Otu033,Otu034,Otu035,Otu036,Otu037,Otu038,Otu039,Otu040,Otu041,Otu042,Otu043,Otu044,Otu045,Otu046,Otu047,Otu048,Otu049,Otu050,Otu051,Otu052,Otu053,Otu054,Otu055,Otu056,Otu057,Otu058,Otu059,Otu060,Otu061,Otu062,Otu063,Otu064,Otu065,Otu066,Otu067,Otu068,Otu069,Otu070,Otu071,Otu072,Otu073,Otu074,Otu075,Otu076,Otu077,Otu078,Otu079,Otu080,Otu083,Otu084,Otu086,Otu088,Otu091,Otu092,Otu093,Otu094,Otu097,Otu101,Otu102,Otu105,Otu110,Otu119,Otu120,Otu122,Otu133,Otu138,Otu139,Otu145,Otu147,Otu150,Otu171,Otu172,Otu176,Otu178
109-1-D-11,Ampicillin,1untr,0,0.627077,0.009231,0.233231,0.011077,0.070769,0.006769,0.000615,0.000615,0.011692,0,0,0,0.003692,0.017231,0.002462,0,0.004923,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109-2-D-11,Ampicillin,1untr,0,0.628308,0.006769,0.252923,0.003077,0.059077,0.006769,0,0.000615,0.009846,0,0.000615,0.001231,0.001231,0.027692,0.000615,0,0.000615,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109-5-D-11,Ampicillin,1untr,0,0.297231,0.025846,0.331077,0.025231,0.029538,0.114462,0.086769,0.004308,0.012308,0,0.011692,0.001231,0.000615,0.003692,0.006154,0.006154,0,0,0.000615,0.006154,0.000615,0,0,0.032,0.000615,0,0.001846,0,0.001846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111-1-D-11,Ampicillin,1untr,0,0.656,0.015385,0.197538,0.014154,0.024,0.004308,0.000615,0.003077,0.006154,0,0,0.003077,0.004923,0.067077,0.002462,0,0,0,0,0,0,0,0,0.000615,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111-2-D-11,Ampicillin,1untr,0,0.719385,0.011692,0.175385,0.018462,0.004923,0.002462,0.001231,0.001231,0.011692,0.000615,0,0.000615,0,0.042462,0,0.001846,0.004923,0,0,0,0,0,0,0.001846,0,0,0.001231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111-3-D-11,Ampicillin,1untr,0,0.648615,0.017846,0.237538,0.017846,0.037538,0.001231,0.000615,0.000615,0.009231,0,0,0.001231,0.000615,0.023385,0.001231,0,0,0,0,0,0,0,0,0.001231,0.000615,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117-1-D-11,Ampicillin,1untr,0,0.56,0.094769,0.196923,0.046154,0.026462,0.003077,0,0.008,0.010462,0.000615,0.009231,0.010462,0.002462,0.016,0.000615,0.008,0.002462,0,0,0,0,0,0,0,0,0,0.001846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000615,0.001846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117-2-D-11,Ampicillin,1untr,0,0.539077,0.044923,0.178462,0.020308,0.076308,0.006769,0.000615,0.004923,0.014769,0.000615,0.032,0.003692,0.003692,0.022154,0.002462,0.044308,0.003077,0,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000615,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117-3-D-11,Ampicillin,1untr,0,0.433846,0.183385,0.155692,0.052923,0.076923,0.008,0.001231,0.015385,0.012923,0,0.018462,0.005538,0.013538,0.008,0.002462,0.006769,0.001846,0,0,0,0,0,0,0,0,0,0.003077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117-5-D-11,Ampicillin,1untr,0,0.562462,0.083692,0.118769,0.024615,0.055385,0.008615,0,0.002462,0.013538,0.000615,0.089231,0.003692,0.003692,0.018462,0.001231,0.009846,0.001231,0,0,0,0,0,0,0.000615,0,0,0.001231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
