otu,phyl,order,graphOrder,family,last,n,corr,pval,abund,avgByFam
Otu00046,Firmicutes,Bacillales,9,*Bacillales,Bacillales,1,0.267653468,0.021107809,0.00126,NA
Otu00016,Bacteroidetes,Bacteroidetes*,4,*Bacteroidetes,Bacteroidetes,1,-0.628440275,8.03E-11,0.01216,NA
Otu00286,Firmicutes,Firmicutes*,11,*Clostridia,Clostridia,4,-0.477052477,4.61E-06,0.00247,NA
Otu00154,Firmicutes,Clostridiales,10,*Clostridiales,Clostridiales,3,0.261996684,0.024163621,0.0015,NA
Otu00034,Firmicutes,Clostridiales,10,*Clostridiales,Clostridiales,3,-0.484582092,3.01E-06,0.00323,NA
Otu00181,Firmicutes,Clostridiales,10,*Clostridiales,Clostridiales,3,-0.496305749,1.59E-06,0.0039,NA
Otu00057,Firmicutes,Firmicutes*,12,*Firmicutes,Firmicutes,2,0.309473451,0.006329052,0.00113,NA
Otu02109,Firmicutes,Firmicutes*,12,*Firmicutes,Firmicutes,2,-0.464743163,8.73E-06,0.00251,NA
Otu00179,Unclassified,Unclassified,18,*Unclassified,Unclassified,0,-0.399220239,0.00024267,0.00108,NA
Otu00064,Unclassified,Unclassified,18,*Unclassified,Unclassified,0,-0.583090348,3.69E-09,0.00105,NA
Otu00024,Tenericutes,Anaeroplasmatales,15,Anaeroplasmataceae,Anaeroplasma,1,-0.490167871,2.30E-06,0.00122,NA
Otu00044,Bacteroidetes,Bacteroidales,1,Bacteroidaceae,Bacteroides,2,0.335245079,0.002884403,0.00262,NA
Otu00005,Bacteroidetes,Bacteroidales,1,Bacteroidaceae,Bacteroides,2,-0.556589913,2.67E-08,0.11316,NA
Otu00022,Actinobacteria,Bifidobacteriales,16,Bifidobacteriaceae,Bifidobacterium,1,-0.343246841,0.002128996,0.01037,NA
Otu00029,Actinobacteria,Bifidobacteriales,17,Coriobacteriaceae,Enterorhabdus,1,-0.700578033,2.24E-14,0.00109,NA
Otu00011,Proteobacteria,Enterobacteriales,13,Enterobacteriaceae,Escherichia_Shigella,1,0.561940139,1.98E-08,0.1767,NA
Otu00032,Firmicutes,Clostridiales,5,Lachnospiraceae,Lachnospiraceae,8,-0.317989929,0.005060836,0.00116,-0.514349492
Otu00036,Firmicutes,Clostridiales,5,Lachnospiraceae,Lachnospiraceae,8,-0.381870959,0.000490689,0.00114,-0.514349492
Otu00095,Firmicutes,Clostridiales,5,Lachnospiraceae,Lachnospiraceae,8,-0.432224947,4.80E-05,0.00109,-0.514349492
Otu00076,Firmicutes,Clostridiales,5,Lachnospiraceae,Lachnospiraceae,8,-0.466757548,7.93E-06,0.00147,-0.514349492
Otu00042,Firmicutes,Clostridiales,5,Lachnospiraceae,Lachnospiraceae,8,-0.546220653,5.57E-08,0.00163,-0.514349492
Otu00026,Firmicutes,Clostridiales,5,Lachnospiraceae,Lachnospiraceae,8,-0.576027982,6.44E-09,0.00149,-0.514349492
Otu00027,Firmicutes,Clostridiales,5,Lachnospiraceae,Lachnospiraceae,8,-0.624512032,1.03E-10,0.00251,-0.514349492
Otu00039,Firmicutes,Clostridiales,5,Lachnospiraceae,Lachnospiraceae,8,-0.769191882,1.04E-18,0.00359,-0.514349492
Otu00021,Firmicutes,Lactobacillales,7,Lactobacillaceae,Lactobacillus,2,-0.404422685,0.000192106,0.01929,NA
Otu00023,Firmicutes,Lactobacillales,7,Lactobacillaceae,Lactobacillus,2,-0.729416874,4.62E-16,0.00776,NA
Otu00008,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.359565052,0.00116832,0.03664,-0.629183284
Otu00009,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.502303399,1.14E-06,0.00168,-0.629183284
