otu,phyla,name
Otu001,Bacteroidetes,Porphyromonadaceae
Otu002,Firmicutes,Lachnospiraceae
Otu003,Bacteroidetes,Bacteroidaceae
Otu004,Firmicutes,Ruminococcaceae
Otu005,Firmicutes,Lactobacillaceae
Otu006,Verrucomicrobia,Verrucomicrobiaceae
Otu007,Proteobacteria,Enterobacteriaceae
Otu008,Firmicutes,*Clostridiales
Otu009,Bacteroidetes,*Bacteroidetes
Otu011,Firmicutes,Erysipelotrichaceae
Otu013,Firmicutes,*Firmicutes
Otu014,Bacteroidetes,Rikenellaceae
Otu016,Actinobacteria,Bifidobacteriaceae
Otu018,Firmicutes,Staphylococcaceae
Otu019,Firmicutes,Clostridiaceae
Otu021,Firmicutes,Streptococcaceae
Otu024,Proteobacteria,Pseudomonadaceae
