Group,abx,expgroup,nextDayCFU,Otu001,Otu002,Otu003,Otu004,Otu005,Otu006,Otu007,Otu008,Otu009,Otu011,Otu013,Otu014,Otu016,Otu018,Otu019,Otu021,Otu024,Other
021-1D-6,Ampicillin,1untrAmp,0,0.624385,0.016385,0.115462,0.024385,0.039769,0.035462,0.001,0.008385,0.024385,0.036077,0.002231,0.047154,0.007154,0.001,0.001,0.001,0.001,0.031766
021-2D-6,Ampicillin,1untrAmp,0,0.647154,0.022538,0.085308,0.020077,0.043462,0.013923,0.001,0.011462,0.025,0.026231,0.007154,0.073615,0.010846,0.001,0.001,0.001615,0.001,0.025615
021-3D-6,Ampicillin,1untrAmp,0,0.628077,0.025615,0.087154,0.033615,0.041615,0.034846,0.001,0.006538,0.021923,0.025615,0.006538,0.065,0.005923,0.001,0.001,0.001,0.001,0.030541
021-4D-6,Ampicillin,1untrAmp,0,0.469923,0.125308,0.070538,0.057,0.034231,0.025,0.001,0.026231,0.020692,0.018846,0.024385,0.073,0.002231,0.001,0.001,0.001,0.001,0.065615
040-1D-6,Metronidazole,1untrMet,0,0.523462,0.076692,0.130846,0.044077,0.036692,0.007154,0.001615,0.009615,0.005308,0.028692,0.035462,0.055769,0.012692,0.001,0.001,0.001,0.001,0.045924
040-2D-6,Metronidazole,1untrMet,0,0.484077,0.064385,0.160385,0.024385,0.129615,0.010231,0.001,0.007154,0.005923,0.020077,0.008385,0.039769,0.013923,0.001,0.001,0.001,0.001,0.044691
040-3D-6,Metronidazole,1untrMet,0,0.549308,0.035462,0.178846,0.045308,0.093923,0.029923,0.001615,0.002846,0.003462,0.001615,0.025615,0.025615,0.009615,0.001,0.001,0.001,0.001,0.010847
040-4D-6,Metronidazole,1untrMet,0,0.399154,0.040385,0.145615,0.052692,0.145615,0.037308,0.004692,0.005923,0.008385,0.049615,0.010231,0.031769,0.021923,0.007154,0.007769,0.004077,0.001615,0.044078
050-1D-6,Ampicillin,1untrAmp,0,0.581308,0.037308,0.143154,0.021308,0.073,0.037923,0.003462,0.005923,0.009615,0.001,0.007154,0.055769,0.004077,0.001,0.001,0.001,0.001615,0.032384
050-2D-6,Ampicillin,1untrAmp,0,0.764077,0.010231,0.110538,0.008385,0.060692,0.009615,0.001615,0.001,0.008385,0.002846,0.005923,0.020077,0.001,0.001,0.001,0.001,0.001,0.009616
050-3D-6,Ampicillin,1untrAmp,0,0.721,0.037923,0.110538,0.003462,0.108692,0.007769,0.002231,0.002846,0.005923,0.001,0.003462,0.002846,0.001,0.001,0.001,0.001,0.001,0.005308
050-4D-6,Ampicillin,1untrAmp,0,0.581308,0.020692,0.124692,0.020077,0.118538,0.034231,0.004077,0.001,0.006538,0.001,0.006538,0.039154,0.002846,0.005308,0.007769,0.002231,0.001615,0.040386
102-3-D-11,Metronidazole,1untrMet,0,0.611462,0.100077,0.018846,0.012077,0.090231,0.008385,0.004077,0.002846,0.003462,0.137,0.001,0.001615,0.004692,0.001,0.001,0.001615,0.001,0.017615
102-4-D-11,Metronidazole,1untrMet,0,0.660692,0.053923,0.148692,0.017,0.029923,0.029308,0.007154,0.004077,0.017615,0.011462,0.002231,0.013923,0.003462,0.001,0.001615,0.001615,0.001615,0.012693
102-5-D-11,Metronidazole,1untrMet,0,0.501308,0.143769,0.082846,0.034846,0.063769,0.009,0.004077,0.005923,0.013308,0.090846,0.004692,0.031769,0.007154,0.001615,0.001,0.001,0.001,0.020078
103-1-D-6,Metronidazole,1untrMet,0,0.725308,0.042846,0.013923,0.004077,0.129615,0.042231,0.004077,0.011462,0.009615,0.003462,0.002231,0.004077,0.001,0.001615,0.001,0.002231,0.002846,0.016384
103-2-D-6,Metronidazole,1untrMet,0,0.815154,0.013308,0.022538,0.002846,0.114846,0.010846,0.002846,0.002231,0.011462,0.002846,0.001615,0.004077,0.004077,0.001,0.001,0.001,0.001615,0.004693
103-3-D-6,Metronidazole,1untrMet,0,0.627462,0.097615,0.129,0.008385,0.028077,0.007769,0.004692,0.007154,0.008385,0.001615,0.004692,0.069923,0.001,0.001615,0.001615,0.001,0.001,0.017001
107-1-D-11,Metronidazole,1untrMet,0,0.386846,0.148692,0.173923,0.022538,0.039154,0.044692,0.140692,0.008385,0.016385,0.018231,0.001,0.001,0.001615,0.001,0.001,0.001615,0.001615,0.009617
107-3-D-11,Metronidazole,1untrMet,0,0.570846,0.152385,0.073,0.015769,0.015769,0.073615,0.058231,0.013923,0.013923,0.008385,0.001,0.001,0.001,0.001,0.001,0.001,0.002231,0.013923
108-1-D-11,Metronidazole,1untrMet,0,0.491462,0.018231,0.285923,0.032385,0.097,0.025615,0.004077,0.004692,0.002846,0.001,0.017615,0.004077,0.001,0.001,0.001,0.001615,0.001615,0.026847
108-2-D-11,Metronidazole,1untrMet,0,0.642231,0.011462,0.146846,0.005923,0.159769,0.002231,0.001615,0.001,0.009615,0.001,0.005923,0.017615,0.001,0.001,0.001,0.001615,0.002231,0.005924
109-1-D-11,Ampicillin,1untrAmp,0,0.628077,0.010231,0.234231,0.012077,0.071769,0.007769,0.001615,0.001615,0.012692,0.001,0.004692,0.018231,0.001,0.001,0.001,0.001615,0.001,0.008386
109-2-D-11,Ampicillin,1untrAmp,0,0.629308,0.007769,0.253923,0.004077,0.060077,0.007769,0.001,0.001615,0.010846,0.001615,0.002231,0.028692,0.001,0.001,0.001,0.001,0.001615,0.003463
109-5-D-11,Ampicillin,1untrAmp,0,0.298231,0.026846,0.332077,0.026231,0.030538,0.115462,0.087769,0.005308,0.013308,0.012692,0.001615,0.004692,0.007154,0.001,0.001615,0.001615,0.033,0.018847
111-1-D-11,Ampicillin,1untrAmp,0,0.657,0.016385,0.198538,0.015154,0.025,0.005308,0.001615,0.004077,0.007154,0.001,0.005923,0.068077,0.001,0.001,0.001,0.001,0.001615,0.007154
111-2-D-11,Ampicillin,1untrAmp,0,0.720385,0.012692,0.176385,0.019462,0.005923,0.003462,0.002231,0.002231,0.012692,0.001,0.001,0.043462,0.002846,0.001,0.001,0.001,0.002846,0.008383
111-3-D-11,Ampicillin,1untrAmp,0,0.649615,0.018846,0.238538,0.018846,0.038538,0.002231,0.001615,0.001615,0.010231,0.001,0.001615,0.024385,0.001,0.001,0.001,0.001,0.002231,0.004694
116-1-D-11,Metronidazole,1untrMet,0,0.466846,0.125308,0.164077,0.064385,0.046538,0.063769,0.001615,0.006538,0.010846,0.001,0.011462,0.037308,0.002846,0.001,0.001,0.001,0.001,0.011462
116-2-D-11,Metronidazole,1untrMet,0,0.520385,0.059462,0.161615,0.060077,0.043462,0.017615,0.001,0.007769,0.021923,0.002846,0.024385,0.059462,0.010231,0.001,0.001,0.001,0.001,0.023768
116-3-D-11,Metronidazole,1untrMet,0,0.569615,0.052692,0.193615,0.029308,0.034231,0.043462,0.001,0.004077,0.017,0.001,0.011462,0.033615,0.009,0.001,0.001,0.001,0.001615,0.013308
116-4-D-11,Metronidazole,1untrMet,0,0.311769,0.140077,0.155462,0.081615,0.017615,0.002846,0.001,0.010231,0.003462,0.001,0.054538,0.173923,0.007154,0.001,0.001,0.001,0.001,0.053308
116-5-D-11,Metronidazole,1untrMet,0,0.479769,0.093923,0.133923,0.036692,0.044692,0.025,0.012077,0.009,0.013923,0.001615,0.025,0.111154,0.005923,0.001,0.001,0.001,0.001,0.021309
117-1-D-11,Ampicillin,1untrAmp,0,0.561,0.095769,0.197923,0.047154,0.027462,0.004077,0.001,0.009,0.011462,0.010231,0.003462,0.017,0.009,0.001,0.001,0.001,0.001,0.01946
117-2-D-11,Ampicillin,1untrAmp,0,0.540077,0.045923,0.179462,0.021308,0.077308,0.007769,0.001615,0.005923,0.015769,0.033,0.004692,0.023154,0.045308,0.001,0.001,0.001,0.001,0.012692
117-3-D-11,Ampicillin,1untrAmp,0,0.434846,0.184385,0.156692,0.053923,0.077923,0.009,0.002231,0.016385,0.013923,0.019462,0.014538,0.009,0.007769,0.001,0.001,0.001,0.001,0.013923
